&ADUNIDT,  us, un, yyyy mm dd hr mh,     Pot   ,     PotMin,    On,    Of,
CADUNIDT,26,1, 1985 01 01 00 0 ,23.4,23.4,24,24,                                                     
CADUNIDT,26,2, 2001 02 01 00 0 ,23.3,23.3,24,24,                                                      
CADUNIDT,27,3, 2014 03 01 00 0 ,23.3,23.3,24,24,                                                         
CADUNIDT,2,1, 2014 03 01 00 0 ,8.5,33.5,1,1,                                                         
CADUNIDT,2,2, 2015 01 09 00 0 ,8.5,33.5,1,1,                                                        
CADUNIDT,12,1, 1954 05 01 00 0 ,10,2.5,1,1,                                                         
CADUNIDT,12,2, 1954 05 01 00 0 ,10,2.5,1,1,                                                        
CADUNIDT,12,3, 1954 05 01 00 0 ,10,2.5,1,1,                                                         
CADUNIDT,12,4, 1954 05 01 00 0 ,10,2.5,1,1,                                                         
CADUNIDT,60,1, 2014 05 01 00 0 ,40,10,1,1,                                                        
