danc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,63,63,62,62,60,60,58,58,59,59,65,65,72,72,85,85,95,95,99,99,100,100,99,99,93,93,92,92,90,90,88,88,90,90,92,92,96,96,98,98,96,96,90,90,80,80,70,70
2,121.3,119.7,118.2,116,114.5,114,113.7,113.1,114.2,114.3,117.4,118.8,122.3,125.6,78.9,83,88.2,90.9,92.1,92.5,93.7,95.7,94.8,94.1,93.4,92,93.6,94.9,94.7,94.7,94.1,94.9,95.6,93.4,80.6,84.6,93.9,96.9,96,94.6,97.9,100.7,99.7,97,97.9,95.1,89,84.8
3,121.3,119.7,118.2,116,114.5,114,113.7,113.1,114.2,114.3,117.4,118.8,122.3,125.6,78.9,83,88.2,90.9,92.1,92.5,93.7,95.7,94.8,94.1,93.4,92,93.6,94.9,94.7,94.7,94.1,94.9,95.6,93.4,80.6,84.6,93.9,96.9,96,94.6,97.9,100.7,99.7,97,97.9,95.1,89,84.8
4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,120.9,114.9,110.4,108.1,105.7,103.7,102.3,102.3,103.8,106.3,111.8,118,125.5,129.7,69.3,73.3,77.2,80.2,82.7,85,87.1,88.8,89.4,89.8,88.1,87.4,89.7,90.8,91.3,91.3,91.4,91,90.5,89.2,87.6,86,89.7,93.9,93.5,92.9,90.8,90.7,89,86,80.4,78.8,73.7,69.5
8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,164.8,160.3,156.9,154.2,151.7,150,148.2,146.5,145.9,146.8,149.2,147.8,148.7,150.9,84.2,88.2,91.8,94.7,97.6,99.5,101.3,103,104,104.2,104.5,102.7,104.8,107.4,108.1,108.8,108.3,108,106.2,103.5,99,97.2,105.7,106.6,105.3,102.7,103,104.9,104.2,103.2,103.9,103.8,101.8,99.3
10,126.4,122.3,119.2,117,114.9,113.6,112.2,110.8,110.5,111.4,113.4,112.3,113.1,114.8,71,74.9,78.3,81.1,83.8,85.5,87.2,89,89.9,90.1,90.5,88.8,90.9,93.4,94,94.8,94.2,93.9,92.2,89.6,83.6,82,89.7,90.5,89.3,86.9,87.4,89.1,88.4,87.5,89.9,89.8,87.9,85.5
11,77.5,76.1,75.2,74.3,73.9,75,74.9,74.2,73.6,74.5,75,70.7,72.7,73.9,53.9,58.1,60.9,61.6,62.4,62.2,62.7,64.2,61.5,62.7,66.4,66.3,67.9,69.2,68.7,69.8,69.7,70.2,69.8,68.4,69.4,71.4,73.4,72.4,70.2,68.8,67,66.6,67.4,67.9,65.5,64.3,63,61.6
12,114.3,110.4,108.6,106.1,103,100.6,100.7,100.1,100,100.9,103.5,106,104.9,106.5,64.4,68.6,74.9,78.6,80.9,81.9,83.5,85.6,85.7,86.7,86.4,86.2,89.8,88.9,88.5,87.5,87.6,87.1,85.4,85,82.9,79.7,78.8,85.8,85.5,83,80.6,79.6,81.7,83,79,73,68.5,65
13,152.1,145.8,141.7,138.3,135.9,133.9,132.7,131.3,129.4,130.4,134.2,136.3,137.8,144.1,84.3,89.5,95.6,100.9,105.1,107.2,110.2,113.4,117.1,119.9,118.8,115.4,114.4,114.8,116.9,118.2,118,118.4,117.9,117.1,111.7,107,108.2,119.5,118.9,117.6,114.1,112,112.5,111.2,109.8,106.3,99.7,93.9
14,120.6,121.1,121.8,122.3,122.6,122.9,122.8,122.8,122.7,122.7,122.6,122.2,121.8,121.4,120.1,119.2,118.6,118.2,118,117.6,117.3,117,116.9,117,117.3,117.4,116.8,116.6,116.3,116.3,116.4,116.4,116.4,116.8,117.6,117.8,117.2,116.7,116.7,116.9,117.2,117.2,117.2,117.4,117.7,117.8,118.6,119.4
15,120.9,114.9,110.4,108.1,105.7,103.7,102.3,102.3,103.8,106.3,111.8,118,125.5,129.7,69.3,73.3,77.2,80.2,82.7,85,87.1,88.8,89.4,89.8,88.1,87.4,89.7,90.8,91.3,91.3,91.4,91,90.5,89.2,87.6,86,89.7,93.9,93.5,92.9,90.8,90.7,89,86,80.4,78.8,73.7,69.5
16,202.3,195.4,196.5,189.4,189.8,182.4,182.3,178.2,178.1,178.1,174,169.5,161.1,156.7,90.6,98.3,106.1,109.9,113.9,117.6,119.3,117,114.9,112.9,109.1,113.3,120.9,126.8,130.6,130.6,130.7,130.6,128.7,125,119.8,109.2,98.1,112.5,112.5,112.7,112.9,115,123.6,130.2,126,128.2,129,125.7
17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,104.5,100.6,97.9,96,94.9,95.2,94,93.7,94,96,99.1,103.5,111.6,114.3,69.5,74.3,79.5,83,84.9,87.1,88.9,90.6,92.7,89.3,85,84.5,89.1,93.4,94.9,95.1,95.1,95.6,95.6,94.5,92.2,88.1,84.4,94.3,95.3,92.7,89.4,89,90.5,89.6,86.1,83.7,79.3,74.5
20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
