(Num),O,E,T,Gb,(   nome   ),Gl,( V),( A),( Pg),( Qg),( Qn),( Qm),(Bc  ),( Pl),( Ql),( Sh),Are,(Vf),-6
1, ,L,2, V,ANGRA1UNE0  ,5,1000,-76,0.01,88.71,-211,414,      ,0,     ,     ,1,1000,1
2, ,L,1, V,ANGRA2UNE0  ,5,1000,-76,0,186.9,-600,600,      ,17.36,     ,     ,1,1000,1
3, ,L,1, V,LCBARRUHE0  ,5,1000,-73,0,-254,-540,420,      ,1.92,     ,     ,1,1000,1
4,,L,1, V,LCBARRUHE1,5,1000,-73,0,-254,-540,420,,6.08,,,1,1000,1
5,,L,1, V,LCBARRUHE2,5,1000,-73,0,-254,-540,420,,75.36,,,1,1000,1
6,,L,1, V,LCBARRUHE3,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
7,,L,1, V,LCBARRUHE4,5,1000,-73,0,-254,-540,420,,18.24,,,1,1000,1
8,,L,1, V,LCBARRUHE5,5,1000,-73,0,-254,-540,420,,24,,,1,1000,1
9,,L,1, V,LCBARRUHE6,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
10,,L,1, V,LCBARRUHE7,5,1000,-73,0,-254,-540,420,,4.64,,,1,1000,1
11,,L,1,W,LCBARRUHE8,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
12,,L,1, V,LCBARRUHE9,5,1000,-73,0,-254,-540,420,,8.96,,,1,1000,1
13,,L,1,W,LCBARRUHE10,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
14,,L,1, V,LCBARRUHE11,5,1000,-73,0,-254,-540,420,,4.96,,,1,1000,1
15,,L,1, V,LCBARRUHE12,5,1000,-73,0,-254,-540,420,,6.56,,,1,1000,1
16,,L,1, V,LCBARRUHE13,5,1000,-73,0,-254,-540,420,,2.8,,,1,1000,1
17,,L,1, V,LCBARRUHE14,5,1000,-73,0,-254,-540,420,,7.2,,,1,1000,1
18,,L,1, V,LCBARRUHE15,5,1000,-73,0,-254,-540,420,,2.56,,,1,1000,1
19,,L,1, V,LCBARRUHE16,5,1000,-73,0,-254,-540,420,,7.6,,,1,1000,1
20,,L,1, V,LCBARRUHE17,5,1000,-73,0,-254,-540,420,,1.76,,,1,1000,1
21,,L,1, V,LCBARRUHE18,5,1000,-73,0,-254,-540,420,,14,,,1,1000,1
22,,L,1, V,LCBARRUHE19,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
23,,L,1, V,LCBARRUHE20,5,1000,-73,0,-254,-540,420,,2.56,,,1,1000,1
24,,L,1, V,LCBARRUHE21,5,1000,-73,0,-254,-540,420,,6.96,,,1,1000,1
25,,L,1, V,LCBARRUHE22,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
26,,L,1,W,LCBARRUHE23,5,1000,-73,0,-254,-540,420,,2.8,,,1,1000,1
27,,L,1, V,LCBARRUHE24,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
28,,L,1, V,LCBARRUHE25,5,1000,-73,0,-254,-540,420,,0,,,1,1000,1
29,,L,1, V,LCBARRUHE26,5,1000,-73,0,-254,-540,420,,1.92,,,1,1000,1
30,,L,1, V,LCBARRUHE27,5,1000,-73,0,-254,-540,420,,8.48,,,1,1000,1
