(De ),d O d,(Pa ),Nc,Est,EP ( R% ),( X% ),(Mvar)(Tap)(Tmn)(Tmx)(Phs)(Bc  ),(Cn),(Ce)Ns(Cq)(1)(2)(3)(4)(5)(6)(7)(8)(9)(10
1,     ,2,1,,1.008,57.5,8.797,19,278.  298.                                
1,     ,3,2,,0.6462,16.52,9.073,32,376.  298.                                
1,,2,2,,0.6462,57.5,9.073,65,319.  319.                                
1,,3,1,,0.6462,16.52,9.073,130,319.  319.                                
2,     ,4,1,,0.6462,17.37,9.073,65,319.  319.                                
2,,5,1,,0.6462,19.83,9.073,19,319.  319.                                
2,,6,2,,0.6462,17.63,9.073,65,319.  319.                                
2,,5,2,,0.6462,19.83,9.073,65,319.  319.                                
3,,4,2,,0.6462,3.79,9.073,19,319.  319.                                
4,,6,1,,0.6462,4.14,9.073,90,319.  319.                                
4,,12,1,,0.6462,25.6,9.073,35,319.  319.                                
5,,7,2,,0.6462,11.6,9.073,35,319.  319.                                
5,,7,1,,0.6462,11.6,9.073,35,319.  319.                                
6,,7,1,,0.6462,8.2,9.073,35,319.  319.                                
6,,8,2,,0.6462,4.2,9.073,32,319.  319.                                
6,,9,1,,0.6462,20.8,9.073,65,319.  319.                                
6,,10,2,,0.6462,55.6,9.073,19,319.  319.                                
6,,28,1,,0.6462,5.99,9.073,32,319.  319.                                
8,,28,2,,0.6462,20,9.073,32,319.  319.                                
9,,11,1,,0.6462,20.8,9.073,10,319.  319.                                
9,,10,2,,0.6462,11,9.073,10,319.  319.                                
10,,20,1,,0.6462,20.9,9.073,19,319.  319.                                
10,,17,1,,0.6462,8.45,9.073,19,319.  319.                                
10,,21,2,,0.6462,7.49,9.073,19,319.  319.                                
10,,22,2,,0.6462,14.99,9.073,15,319.  319.                                
12,,13,2,,0.6462,14,9.073,32,319.  319.                                
12,,14,1,,0.6462,25.59,9.073,19,319.  319.                                
12,,15,2,,0.6462,13.04,9.073,32,319.  319.                                
12,,16,1,,0.6462,19.87,9.073,19,319.  319.                                
14,,15,2,,0.6462,19.97,9.073,19,319.  319.                                
15,,18,2,,0.6462,21.85,9.073,19,319.  319.                                
15,,23,1,,0.6462,20.2,9.073,19,319.  319.                                
16,,17,1,,0.6462,19.23,9.073,19,319.  319.                                
18,,19,3,,0.6462,12.92,9.073,10,319.  319.                                
19,,20,4,,0.6462,6.8,9.073,10,319.  319.                                
21,,22,1,,0.6462,2.36,9.073,32,319.  319.                                
22,,24,1,,0.6462,17.9,9.073,15,319.  319.                                
23,,24,1,,0.6462,27,9.073,15,319.  319.                                
24,,25,1,,0.6462,32.92,9.073,19,319.  319.                                
25,,26,1,,0.6462,38,9.073,19,319.  319.                                
25,,27,2,,0.6462,20.87,9.073,19,319.  319.                                
27,,29,1,,0.6462,41.53,9.073,10,319.  319.                                
27,,30,2,,0.6462,60.27,9.073,10,319.  319.                                
28,,27,1,,0.6462,39.6,9.073,10,319.  319.                                
29,,30,1,,0.6462,45.33,9.073,26,319.  319.                                
