&  ,ss ,di,hi,m,df,hf,m,   Demanda                                                                                         
DP ,1,6,1,0, F,  , ,0
DP ,1,6,2,1, F,  , ,0
DP ,1,6,3,0, F,  , ,0
DP ,1,6,4,1, F,  , ,0
DP ,1,6,5,0, F,  , ,0
DP ,1,6,6,1, F,  , ,0
DP ,1,6,7,0, F,  , ,0
DP ,1,6,8,1, F,  , ,0
DP ,1,6,9,0, F,  , ,0
DP ,1,6,10,1, F,  , ,0
DP ,1,6,11,0, F,  , ,0
DP ,1,6,12,1, F,  , ,0
DP ,1,6,13,0, F,  , ,0
DP ,1,6,14,1, F,  , ,0
DP ,1,6,15,0, F,  , ,0
DP ,1,6,16,1, F,  , ,0
DP ,1,6,17,0, F,  , ,0
DP ,1,6,18,1, F,  , ,0
DP ,1,6,19,0, F,  , ,0
DP ,1,6,20,1, F,  , ,0
DP ,1,6,21,0, F,  , ,0
DP ,1,6,22,1, F,  , ,0
DP ,1,6,23,0, F,  , ,0
DP ,1,6,24,1, F,  , ,0
DP ,1,6,25,0, F,  , ,0
DP ,1,6,26,1, F,  , ,0
DP ,1,6,27,0, F,  , ,0
DP ,1,6,28,1, F,  , ,0
DP ,1,6,29,0, F,  , ,0
DP ,1,6,30,1, F,  , ,0
DP ,1,6,31,0, F,  , ,0
DP ,1,6,32,1, F,  , ,0
DP ,1,6,33,0, F,  , ,0
DP ,1,6,34,1, F,  , ,0
DP ,1,6,35,0, F,  , ,0
DP ,1,6,36,1, F,  , ,0
DP ,1,6,37,0, F,  , ,0
DP ,1,6,38,1, F,  , ,0
DP ,1,6,39,0, F,  , ,0
DP ,1,6,40,1, F,  , ,0
DP ,1,6,41,0, F,  , ,0
DP ,1,6,42,1, F,  , ,0
DP ,1,6,43,0, F,  , ,0
DP ,1,6,44,1, F,  , ,0
DP ,1,6,45,0, F,  , ,0
DP ,1,6,46,1, F,  , ,0
DP ,1,6,47,0, F,  , ,0
DP ,1,6,48,1, F,  , ,0
DP ,2,6,1,0, F,  , ,0
DP ,2,6,2,1, F,  , ,0
DP ,2,6,3,0, F,  , ,0
DP ,2,6,4,1, F,  , ,0
DP ,2,6,5,0, F,  , ,0
DP ,2,6,6,1, F,  , ,0
DP ,2,6,7,0, F,  , ,0
DP ,2,6,8,1, F,  , ,0
DP ,2,6,9,0, F,  , ,0
DP ,2,6,10,1, F,  , ,0
DP ,2,6,11,0, F,  , ,0
DP ,2,6,12,1, F,  , ,0
DP ,2,6,13,0, F,  , ,0
DP ,2,6,14,1, F,  , ,0
DP ,2,6,15,0, F,  , ,0
DP ,2,6,16,1, F,  , ,0
DP ,2,6,17,0, F,  , ,0
DP ,2,6,18,1, F,  , ,0
DP ,2,6,19,0, F,  , ,0
DP ,2,6,20,1, F,  , ,0
DP ,2,6,21,0, F,  , ,0
DP ,2,6,22,1, F,  , ,0
DP ,2,6,23,0, F,  , ,0
DP ,2,6,24,1, F,  , ,0
DP ,2,6,25,0, F,  , ,0
DP ,2,6,26,1, F,  , ,0
DP ,2,6,27,0, F,  , ,0
DP ,2,6,28,1, F,  , ,0
DP ,2,6,29,0, F,  , ,0
DP ,2,6,30,1, F,  , ,0
DP ,2,6,31,0, F,  , ,0
DP ,2,6,32,1, F,  , ,0
DP ,2,6,33,0, F,  , ,0
DP ,2,6,34,1, F,  , ,0
DP ,2,6,35,0, F,  , ,0
DP ,2,6,36,1, F,  , ,0
DP ,2,6,37,0, F,  , ,0
DP ,2,6,38,1, F,  , ,0
DP ,2,6,39,0, F,  , ,0
DP ,2,6,40,1, F,  , ,0
DP ,2,6,41,0, F,  , ,0
DP ,2,6,42,1, F,  , ,0
DP ,2,6,43,0, F,  , ,0
DP ,2,6,44,1, F,  , ,0
DP ,2,6,45,0, F,  , ,0
DP ,2,6,46,1, F,  , ,0
DP ,2,6,47,0, F,  , ,0
DP ,2,6,48,1, F,  , ,0
DP ,3,6,1,0, F,  , ,0
DP ,3,6,2,1, F,  , ,0
DP ,3,6,3,0, F,  , ,0
DP ,3,6,4,1, F,  , ,0
DP ,3,6,5,0, F,  , ,0
DP ,3,6,6,1, F,  , ,0
DP ,3,6,7,0, F,  , ,0
DP ,3,6,8,1, F,  , ,0
DP ,3,6,9,0, F,  , ,0
DP ,3,6,10,1, F,  , ,0
DP ,3,6,11,0, F,  , ,0
DP ,3,6,12,1, F,  , ,0
DP ,3,6,13,0, F,  , ,0
DP ,3,6,14,1, F,  , ,0
DP ,3,6,15,0, F,  , ,0
DP ,3,6,16,1, F,  , ,0
DP ,3,6,17,0, F,  , ,0
DP ,3,6,18,1, F,  , ,0
DP ,3,6,19,0, F,  , ,0
DP ,3,6,20,1, F,  , ,0
DP ,3,6,21,0, F,  , ,0
DP ,3,6,22,1, F,  , ,0
DP ,3,6,23,0, F,  , ,0
DP ,3,6,24,1, F,  , ,0
DP ,3,6,25,0, F,  , ,0
DP ,3,6,26,1, F,  , ,0
DP ,3,6,27,0, F,  , ,0
DP ,3,6,28,1, F,  , ,0
DP ,3,6,29,0, F,  , ,0
DP ,3,6,30,1, F,  , ,0
DP ,3,6,31,0, F,  , ,0
