(No) O ,(No), (Nome      ),  ##, DD (Pmin)(Pmax)(Qmin)(Qmax)    (Dumm)(Dumm),(No),#t
 221   ,  10, ANGRA 1     ,   1,                                            ,   1, T
 222   ,  11, ANGRA 1     ,   1,                                            ,  13, T
 223   ,1500, IGARAPE     ,   1,                                            ,   2, T
 224   ,  31, ST.CRUZ 34  ,   2,                                            ,   4, T
 225   ,  32, ST.CRUZ NOVA,   4,                                            ,  86, T
 226   , 201, R.SILVEIRA  ,   1,                                            ,   9, T
 227   , 203, R.SILVEIRA  ,   1,                                            ,   9, T
 228   ,4596, CUIABA CC   ,   2,                                            ,  12, T
 229   ,4597, CUIABA CC   ,   1,                                            ,  12, T
 230   ,2192, CARIOBA     ,   2,                                            ,   7, T
 231   , 403, PIRAT.12 O  ,   2,                                            ,  50, T
 232   , 406, FGASPARIAN  ,   3,                                            , 110, T
 233   , 405, FGASPARIAN  ,   3,                                            , 110, T
 234   ,3974, BLSOBR_L1   ,   1,                                            , 213, T
 235   ,3974, BLSOBR_L13  ,   1,                                            , 214, T
 236   ,1585, AUR.CHAVES  ,   2,                                            ,  63, T
 237   ,3977, M.LAGO      ,  20,                                            ,  90, T
 238   ,4301, LC.PREST_L1 ,   1,                                            , 217, T
 239   ,4300, LC.PREST_L13,   1,                                            , 218, T
 240   ,4100, JUIZ DE FO  ,   1,                                            ,  54, T
 241   ,4180, JUIZ DE FO  ,   1,                                            ,  54, T
 242   ,1170, P.MEDICI A  ,   2,                                            ,  22, T
 243   ,1172, P.MEDICI B  ,   2,                                            ,  23, T
 244   ,1263, NUTEPA      ,   3,                                            ,  30, T
 245   ,9239, S.JERONIMO  ,   3,                                            ,  32, T
 246   ,2481, FIGUEIRA    ,   2,                                            ,  28, T
 247   , 907, J.LAC. A1   ,   2,                                            ,  26, T
 248   , 909, J.LAC. A2   ,   2,                                            ,  27, T
 249   , 911, J.LACER. B  ,   2,                                            ,  25, T
 250   , 913, J.LACER. C  ,   1,                                            ,  24, T
 251   , 927, W.ARJONA    ,   2,                                            ,  34, T
 252   , 928, W.ARJONA    ,   3,                                            ,  34, T
 253   ,1164, URUGUAIANA  ,   2,                                            ,  35, T
 254   ,1165, URUGUAIANA  ,   1,                                            ,  35, T
 255   ,1152, S.TIARAJU   ,   1,                                            ,  64, T
 256   ,1169, S.TIARAJU   ,   1,                                            ,  64, T
 257   , 803, ARAUCARIA   ,   1,                                            ,  48, T
 258   , 802, ARAUCARIA   ,   2,                                            ,  48, T
 259   ,5770, CAMACARI    ,   3,                                            ,  93, T
 260   ,5764, CAMACARI    ,   2,                                            ,  93, T
 261   ,5660, TERMOCEARA  ,   4,                                            ,  58, T
 262   ,5654, FORTALEZA   ,   2,                                            ,  42, T
 263   ,5655, FORTALEZA   ,   1,                                            ,  42, T
 264   ,5827, C.FURTADO   ,   1,                                            ,  43, T
 265   ,5151, TERMOPE     ,   2,                                            ,  96, T
 266   ,5154, TERMOPE     ,   1,                                            ,  96, T
 267   ,5757, R.ALME_T    ,   4,                                            ,  74, T
 268   ,3962, NORTEFLU    ,   1,                                            , 171, T
 269   ,3962, NORTEFLU    ,   1,                                            , 172, T
 270   ,3962, NORTEFLU    ,   1,                                            , 173, T
 271   ,3963, NORTEFLU    ,   1,                                            , 174, T
 272   ,4204, GLBRIZ_L1   ,   1,                                            , 215, T
 277   ,4203, GLBRIZ_L13  ,   1,                                            , 216, T
