 ICUT ,TP.ENTID,ID.ENT,   NomeEntid   ,TP.COEF,ILAG ,IPAT ,     Val.Coef      ,      Unid      
1, RHS    ,0,      -        ,  RHS  ,0,0,0.1,  1000$         
1, USIH   ,1, CAMARGOS      , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,2, ITUTINGA      , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,4, FUNIL-GRANDE  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,24, EMBORCACAO    , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,27, CAPIM BRANC1  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,28, CAPIM BRANC2  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,25, NOVA PONTE    , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,33, SAO SIMAO     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,156, TRES MARIAS   , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,134, SALTO GRANDE  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,10, IGARAPAVA     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,143, AIMORES       , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,162, QUEIMADO      , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,148, IRAPE         , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,217, ROSAL         , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,193, SA CARVALHO   , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,141, BAGUARI       , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,14, CACONDE       , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,18, A. VERMELHA   , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,37, BARRA BONITA  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,40, PROMISSAO     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,42, NAVANHANDAVA  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,15, E. DA CUNHA   , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,16, A.S.OLIVEIRA  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,38, A.S. LIMA     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,39, IBITINGA      , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,62, TAQUARUCU     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,63, ROSANA        , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,52, CANOAS I      , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,51, CANOAS II     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,47, A.A. LAYDNER  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,49, CHAVANTES     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,61, CAPIVARA      , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,50, L.N. GARCEZ   , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,45, JUPIA         , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,44, I. SOLT. EQV  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,46, P. PRIMAVERA  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,120, JAGUARI       , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,121, PARAIBUNA     , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,6, FURNAS        , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,7, M. DE MORAES  , VARM  ,0,1,-0.10, (1000$/hm3)    
1, USIH   ,8, ESTREITO      , VARM  ,0,1,-0.10, (1000$/hm3)    
