Line,From,To,x,Fmax
1,1,2,0.575,130
2,1,3,0.1652,130
3,2,4,0.1737,65
4,3,4,0.0379,130
5,2,5,0.1983,130
6,2,6,0.1763,65
7,4,6,0.0414,90
8,5,7,0.116,70
9,6,7,0.082,130
10,6,8,0.042,32
11,6,9,0.208,65
12,6,10,0.556,32
13,9,11,0.208,65
14,9,10,0.11,65
15,4,12,0.256,65
16,12,13,0.14,65
17,12,14,0.2559,32
18,12,15,0.1304,32
19,12,16,0.1987,16
20,14,15,0.1997,16
21,16,17,0.1923,16
22,15,18,0.2185,16
23,18,19,0.1292,16
24,19,20,0.068,16
25,10,20,0.209,32
26,10,17,0.0845,32
27,10,21,0.0749,32
28,10,22,0.1499,32
29,21,22,0.0236,32
30,15,23,0.202,16
31,22,24,0.179,16
32,23,24,0.27,16
33,24,25,0.3292,16
34,25,26,0.38,16
35,25,27,0.2087,16
36,28,27,0.396,65
37,27,29,0.4153,16
38,27,30,0.6027,16
39,29,30,0.4533,26
40,8,28,0.2,32
41,6,28,0.0599,32
42,1,2,0.575,65
43,1,3,0.1652,65
44,2,5,0.1983,65
45,5,7,0.116,35
