&us,    nome      ,un, di, hi, m, df, hf, m, Gmin,     Gmax,       Custo     ,Custo UP,Custo DN,Fuel,CO2-MWh
26,J.LAC. A1,1,28,0,0, F ,   ,  ,10,23.4,119.28,11.928,7.95,CARVAO,1.109
26,J.LAC. A1,2,28,0,0, F ,   ,  ,23.3,23.3,119.28,11.928,7.95,CARVAO,1.109
27,J.LAC. A2,3,28,0,0, F ,   ,  ,23.3,23.3,72.63,7.263,4.84,CARVAO,1.109
2, BAIXADA FL   ,1,28,0,0, F ,   ,  ,8.5,33.5,64.06,6.406,4.27,GAS-CC,0.361
2, BAIXADA FL   ,2,28,0,0, F ,   ,  ,8.5,33.5,64.06,6.406,4.27,GAS-CC,0.361
12, CUIABA CC    ,1,28,0,0, F ,   ,  ,2.5,10,127.94,12.79,8.53,GAS-CC,0.408
12, CUIABA CC    ,2,28,0,0, F ,   ,  ,2.5,10,127.94,12.79,8.53,GAS-CC,0.408
12, CUIABA CC    ,3,28,0,0, F ,   ,  ,2.5,10,127.94,12.79,8.53,GAS-CC,0.408
12, CUIABA CC    ,4,28,0,0, F ,   ,  ,2.5,10,127.94,12.79,8.53,GAS-CC,0.408
60, NORTEFLU 1   ,1,28,0,0, F ,   ,  ,10,40,63,6.3,6.3,GAS-CC,0.392
