& ,  ind, di, hi, m, df, hf, m,  Vol(%)                                                                                         
VE,    1,  9, 23, 1, 10,  0, 0,      70.24
VE,    6,  9, 23, 1, 10,  0, 0,      60.00
VE,    7,  9, 23, 1, 10,  0, 0,      80.00
VE,   17,  9, 23, 1, 10,  0, 0,      90.00
VE,   14,  9, 23, 1, 10,  0, 0,      96.03
VE,   18,  9, 23, 1, 10,  0, 0,      90.00
VE,   24,  9, 23, 1, 10,  0, 0,      50.00
VE,   25,  9, 23, 1, 10,  0, 0,      55.00
VE,   31,  9, 23, 1, 10,  0, 0,      80.00
VE,   33,  9, 23, 1, 10,  0, 0,      95.00
VE,   37,  9, 23, 1, 10,  0, 0,      93.22
VE,   40,  9, 23, 1, 10,  0, 0,      87.03
VE,   44,  9, 23, 1, 10,  0, 0,      95.00
VE,   47,  9, 23, 1, 10,  0, 0,      92.11
VE,   49,  9, 23, 1, 10,  0, 0,      96.68
VE,   61,  9, 23, 1, 10,  0, 0,      98.00
VE,  122,  9, 23, 1, 10,  0, 0,      97.37
VE,  123,  9, 23, 1, 10,  0, 0,      65.35
VE,  156,  9, 23, 1, 10,  0, 0,      94.11
VE,  169,  9, 23, 1, 10,  0, 0,      77.56
VE,  162,  9, 23, 1, 10,  0, 0,      84.59
VE,  172,  9, 23, 1, 10,  0, 0,      56.99
VE,  148,  9, 23, 1, 10,  0, 0,      95.12
VE,  190,  9, 23, 1, 10,  0, 0,      72.00
VE,  111,  9, 23, 1, 10,  0, 0,      90.47
VE,   77,  9, 23, 1, 10,  0, 0,      100.0
