&ADUNIDT,  us, un, yyyy mm dd hr mh,     Pot   ,     PotMin,    On,    Of,
CADUNIDT,1,1, 1985 01 01 00 0 ,640,520,168,168,
CADUNIDT,13,1, 2001 02 01 00 0 ,1350,1080,168,168,
CADUNIDT,211,1, 2014 03 01 00 0 ,172,160,72,48,
CADUNIDT,211,2, 2014 03 01 00 0 ,172,160,72,48,
CADUNIDT,211,3, 2015 01 09 00 0 ,186,160,72,48,
CADUNIDT,7,1, 1954 05 01 00 0 ,18,0,1,1,
CADUNIDT,7,2, 1954 08 01 00 0 ,18,0,4,4,
CADUNIDT,97,1, 2014 05 01 00 0 ,166.1,0,4,4,
CADUNIDT,97,2, 2014 05 01 00 0 ,49.9,0,4,4,
CADUNIDT,12,1, 1999 04 06 00 0 ,167.4,100,48,12,
CADUNIDT,12,2, 1999 08 03 00 0 ,167.4,100,48,12,
CADUNIDT,12,3, 2001 01 31 00 0 ,194.4,100,48,12,
CADUNIDT,153,1, 2008 01 01 00 0 ,25.6,4,11,3, 
CADUNIDT,153,2, 2008 01 01 00 0 ,17.6,2.8,11,3, 
CADUNIDT,153,3, 2008 01 01 00 0 ,1.2,0.2,11,3, 
CADUNIDT,65,2, 2011 01 01 00 0 ,254.8,40,24,6,
CADUNIDT,183,1, 2011 01 01 00 0 ,235.2,90,24,6,
CADUNIDT,183,3, 2011 01 01 00 0 ,235.2,90,24,6,
CADUNIDT,62,1, 2014 05 01 00 0 ,47.3,35,4,4,
CADUNIDT,62,2, 2014 05 01 00 0 ,47.9,35,4,4,
CADUNIDT,62,3, 2014 05 01 00 0 ,48.7,35,4,4,
CADUNIDT,62,4, 2014 05 01 00 0 ,47.4,35,4,4,
CADUNIDT,62,5, 2014 05 01 00 0 ,48.3,35,4,4,
CADUNIDT,62,6, 2014 05 01 00 0 ,49.8,35,4,4,
CADUNIDT,62,7, 2014 05 01 00 0 ,48.9,35,4,4,
CADUNIDT,62,8, 2014 05 01 00 0 ,47.6,35,4,4,
CADUNIDT,110,1, 2012 03 01 00 0 ,96.4,60,72,48,  
CADUNIDT,110,2, 2012 03 01 00 0 ,96.4,60,72,48, 
CADUNIDT,110,3, 2012 03 01 00 0 ,96.9,60,72,48, 
CADUNIDT,110,4, 2012 03 01 00 0 ,96.7,60,72,48, 
CADUNIDT,110,5, 2012 03 01 00 0 ,92.8,60,72,48, 
CADUNIDT,110,6, 2012 03 01 00 0 ,92.9,60,72,48, 
CADUNIDT,155,1, 2009 01 17 00 0 ,70,55,3,3, 
CADUNIDT,155,2, 2009 01 17 00 0 ,70,55,3,3, 
CADUNIDT,63,1, 2002 07 08 00 0 ,151.3,90,72,48, 
CADUNIDT,63,2, 2003 07 24 00 0 ,74.7,45,72,48, 
CADUNIDT,2,1, 1978 03 01 00 0 ,131,32,4,4, 
CADUNIDT,54,1, 2002 08 03 00 0 ,43.9,35,4,6, 
CADUNIDT,54,2, 2002 02 02 00 0 ,43.1,35,4,6, 
CADUNIDT,15,1, 2010 12 23 00 0 ,51,25,192,12, 
CADUNIDT,15,2, 2010 12 23 00 0 ,51,25,192,12, 
CADUNIDT,15,3, 2010 12 23 00 0 ,51,25,192,12, 
CADUNIDT,15,4, 2010 12 23 00 0 ,51,25,192,12, 
CADUNIDT,137,1, 2021 01 01 00 0 ,285.3,0,4,4,
CADUNIDT,137,2, 2021 01 01 00 0 ,285.3,0,4,4,
CADUNIDT,137,3, 2021 01 01 00 0 ,285.3,0,4,4,
CADUNIDT,137,4, 2021 01 01 00 0 ,443.1,0,4,4,
CADUNIDT,229,1, 2020 09 01 00 0 ,50,0,4,4,
CADUNIDT,230,1, 2020 02 01 00 0 ,5,0,4,4,
CADUNIDT,146,1, 2020 01 01 00 0 ,41.4,0,4,4,
CADUNIDT,223,1, 2021 03 01 00 0 ,50,0,4,4,
CADUNIDT,107,1, 2019 07 01 00 0 ,345,0,4,4,
CADUNIDT,149,1, 2018 06 01 00 0 ,8,0,4,4,
CADUNIDT,224,1, 2020 01 01 00 0 ,32.7,0,4,4, 
CADUNIDT,224,2, 2020 01 01 00 0 ,32.7,0,4,4,
