danc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,90,90,89,88,87,86,85,84,83.5,85,86,87,88,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
2,84.8,78.9,77.9,76.9,75.9,74.9,73.9,72.9,72.4,73.9,74.9,75.9,76.9,77.9,78.9,83,88.2,90.9,92.1,92.5,93.7,95.7,94.8,94.1,93.4,92,93.6,94.9,94.7,94.7,94.1,94.9,95.6,93.4,80.6,84.6,93.9,96.9,96,94.6,97.9,100.7,99.7,97,97.9,95.1,89,84.8
3,84.8,78.9,77.9,76.9,75.9,74.9,73.9,72.9,72.4,73.9,74.9,75.9,76.9,77.9,78.9,83,88.2,90.9,92.1,92.5,93.7,95.7,94.8,94.1,93.4,92,93.6,94.9,94.7,94.7,94.1,94.9,95.6,93.4,80.6,84.6,93.9,96.9,96,94.6,97.9,100.7,99.7,97,97.9,95.1,89,84.8
4,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,69.5,69.3,68.3,67.3,66.3,65.3,64.3,63.3,62.8,64.3,65.3,66.3,67.3,68.3,69.3,73.3,77.2,80.2,82.7,85,87.1,88.8,89.4,89.8,88.1,87.4,89.7,90.8,91.3,91.3,91.4,91,90.5,89.2,87.6,86,89.7,93.9,93.5,92.9,90.8,90.7,89,86,80.4,78.8,73.7,69.5
8,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,99.3,84.2,83.2,82.2,81.2,80.2,79.2,78.2,77.7,79.2,80.2,81.2,82.2,83.2,84.2,88.2,91.8,94.7,97.6,99.5,101.3,103,104,104.2,104.5,102.7,104.8,107.4,108.1,108.8,108.3,108,106.2,103.5,99,97.2,105.7,106.6,105.3,102.7,103,104.9,104.2,103.2,103.9,103.8,101.8,99.3
10,85.5,71,70,69,68,67,66,65,64.5,66,67,68,69,70,71,74.9,78.3,81.1,83.8,85.5,87.2,89,89.9,90.1,90.5,88.8,90.9,93.4,94,94.8,94.2,93.9,92.2,89.6,83.6,82,89.7,90.5,89.3,86.9,87.4,89.1,88.4,87.5,89.9,89.8,87.9,85.5
11,61.6,53.9,52.9,51.9,50.9,49.9,48.9,47.9,47.4,48.9,49.9,50.9,51.9,52.9,53.9,58.1,60.9,61.6,62.4,62.2,62.7,64.2,61.5,62.7,66.4,66.3,67.9,69.2,68.7,69.8,69.7,70.2,69.8,68.4,69.4,71.4,73.4,72.4,70.2,68.8,67,66.6,67.4,67.9,65.5,64.3,63,61.6
12,65,64.4,63.4,62.4,61.4,60.4,59.4,58.4,57.9,59.4,60.4,61.4,62.4,63.4,64.4,68.6,74.9,78.6,80.9,81.9,83.5,85.6,85.7,86.7,86.4,86.2,89.8,88.9,88.5,87.5,87.6,87.1,85.4,85,82.9,79.7,78.8,85.8,85.5,83,80.6,79.6,81.7,83,79,73,68.5,65
13,93.9,84.3,83.3,82.3,81.3,80.3,79.3,78.3,77.8,79.3,80.3,81.3,82.3,83.3,84.3,89.5,95.6,100.9,105.1,107.2,110.2,113.4,117.1,119.9,118.8,115.4,114.4,114.8,116.9,118.2,118,118.4,117.9,117.1,111.7,107,108.2,119.5,118.9,117.6,114.1,112,112.5,111.2,109.8,106.3,99.7,93.9
14,119.4,120.1,119.1,118.1,117.1,116.1,115.1,114.1,113.6,115.1,116.1,117.1,118.1,119.1,120.1,119.2,118.6,118.2,118,117.6,117.3,117,116.9,117,117.3,117.4,116.8,116.6,116.3,116.3,116.4,116.4,116.4,116.8,117.6,117.8,117.2,116.7,116.7,116.9,117.2,117.2,117.2,117.4,117.7,117.8,118.6,119.4
15,69.5,69.3,68.3,67.3,66.3,65.3,64.3,63.3,62.8,64.3,65.3,66.3,67.3,68.3,69.3,73.3,77.2,80.2,82.7,85,87.1,88.8,89.4,89.8,88.1,87.4,89.7,90.8,91.3,91.3,91.4,91,90.5,89.2,87.6,86,89.7,93.9,93.5,92.9,90.8,90.7,89,86,80.4,78.8,73.7,69.5
16,125.7,90.6,89.6,88.6,87.6,86.6,85.6,84.6,84.1,85.6,86.6,87.6,88.6,89.6,90.6,98.3,106.1,109.9,113.9,117.6,119.3,117,114.9,112.9,109.1,113.3,120.9,126.8,130.6,130.6,130.7,130.6,128.7,125,119.8,109.2,98.1,112.5,112.5,112.7,112.9,115,123.6,130.2,126,128.2,129,125.7
17,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,74.5,69.5,68.5,67.5,66.5,65.5,64.5,63.5,63,64.5,65.5,66.5,67.5,68.5,69.5,74.3,79.5,83,84.9,87.1,88.9,90.6,92.7,89.3,85,84.5,89.1,93.4,94.9,95.1,95.1,95.6,95.6,94.5,92.2,88.1,84.4,94.3,95.3,92.7,89.4,89,90.5,89.6,86.1,83.7,79.3,74.5
20,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,74.5,69.5,68.5,67.5,66.5,65.5,64.5,63.5,63,64.5,65.5,66.5,67.5,68.5,69.5,74.3,79.5,83,84.9,87.1,88.9,90.6,92.7,89.3,85,84.5,89.1,93.4,94.9,95.1,95.1,95.6,95.6,94.5,92.2,88.1,84.4,94.3,95.3,92.7,89.4,89,90.5,89.6,86.1,83.7,79.3,74.5
23,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,62.6,60.7,59.7,58.7,57.7,56.7,55.7,54.7,54.2,55.7,56.7,57.7,58.7,59.7,60.7,66.8,71.9,74.4,75.6,76.9,78.5,80.6,81.9,78.5,72.4,71.3,74.1,77.3,78.1,78.3,78.3,78.4,78.5,78.2,76.2,72.3,71.3,79.8,84.9,83.4,80,79.7,79,75.8,72.1,71.9,67.1,62.6
25,68.2,75.4,74.4,73.4,72.4,71.4,70.4,69.4,68.9,70.4,71.4,72.4,73.4,74.4,75.4,80.2,83.8,85,85.7,87.7,90.2,92.9,95.2,93,86,84.7,87.5,91.9,93.3,93.8,94.1,93.8,93.9,93.7,93.7,91.4,92.2,93.9,91.7,89.6,87.2,86.8,84,84.3,79.4,77,72.6,68.2
26,50.8,38.3,37.3,36.3,35.3,34.3,33.3,32.3,31.8,33.3,34.3,35.3,36.3,37.3,38.3,38.7,41.1,43.6,46.6,49.6,50.9,52.1,53.1,54.4,54,53.5,53.5,53.5,55.5,57.6,58.4,59,58.6,58.2,58.4,57.1,54.3,51.8,53.7,55.7,54.8,53.9,53.5,53,52.6,53,52,50.8
27,100,100,99,98,97,96,95,94,93.5,95,96,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,67.4,66.9,65.9,64.9,63.9,62.9,61.9,60.9,60.4,61.9,62.9,63.9,64.9,65.9,66.9,71.6,75.6,78.9,81.8,84.2,86.6,88.8,89.4,89.7,87.7,86.9,89.4,90.7,91.3,91.2,91.3,90.9,90.3,89,82.6,81,85,89.4,89.1,88.3,86.2,86.1,84.3,81.3,79.6,78,72,67.4
29,90.7,90.3,89.3,88.3,87.3,86.3,85.3,84.3,83.8,85.3,86.3,87.3,88.3,89.3,90.3,95.4,100,103.7,106.9,109.7,112.3,114.8,115.4,115.8,113.6,112.8,115.5,117,117.6,117.5,117.6,117.2,116.5,115.1,106.3,104.4,109,113.9,113.6,112.6,110.3,110.2,108.2,104.8,104.5,102.7,95.9,90.7
30,80.6,80.2,79.2,78.2,77.2,76.2,75.2,74.2,73.7,75.2,76.2,77.2,78.2,79.2,80.2,84.8,88.8,92.2,95.1,97.6,99.8,102,102.6,103,101,100.3,102.7,103.9,104.5,104.5,104.6,104.1,103.5,102.2,98.1,96.3,100.6,105,104.7,103.8,101.7,101.7,99.8,96.6,92.9,91.3,85.3,80.6
