(Num),O,E,T,Gb,(   nome   ),Gl,( V),( A),( Pg),( Qg),( Qn),( Qm),(Bc  ),( Pl),( Ql),( Sh),Are,(Vf),-6
10, ,L,1, V,ANGRA1UNE0  ,5,1000,-76,0,88.71,-211,414,      ,0,     ,     ,44,1000,1
11, ,L,1, V,ANGRA2UNE0  ,5,1000,-76,0,186.9,-600,600,      ,0,     ,     ,44,1000,1
12, ,L,1, V,LCBARRUHE0  ,5,1000,-73,0,-254,-540,420,      ,0,     ,     ,1,1000,1
13, ,L,1, T,LCBARRSIN000,5,1037,-78,0,82.11,0,0,      ,0,     ,     ,1,1000,1
14, ,L,1, V,FUNIL1UHE0  ,5,996,-103,0,-25.4,-100,100,      ,0,     ,     ,1,1000,1
16, ,L,1, V,FURNASUHE0  ,5,1024,-75,0,31.79,-350,350,      ,0,     ,     ,1,1000,1
17, ,L,1, T,FURNASSIN000,5,1036,-82,0,64.48,0,0,      ,0,     ,     ,1,1000,1
18, ,L,1, V,ITUMBIUHE0  ,5,1000,-65,0,307.7,-455,500,      ,0,     ,     ,99,1000,1
19, ,L,1, T,ITUMBISIN000,5,1044,-75,0,137.3,0,0,      ,0,     ,     ,1,1000,1
20, ,L,1, V,MARIMBUHE0  ,5,1050,-57,0,-152,-560,560,      ,0,     ,     ,1,1000,1
21, ,L,1, V,MANSO-UHE0  ,5,975,-71,0,-3.03,-40,42,      ,0,     ,     ,99,1000,1
22, ,L,1, V,M.MORAUHE0  ,5,1029,-73,0,-3.68,-40,42,      ,0,     ,     ,1,1000,1
24, ,L,1, V,M.MORBUHE0  ,5,974,-73,0,29.13,-18,46.5,      ,0,     ,     ,1,1000,1
25, ,L,0, F,XAVA-2-GO230,5,1011,-91,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
26, ,L,0, F,PIRI-2-GO230,5,987,-96,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
28, ,L,1, V,PCOLOMUHE0  ,5,1020,-53,0,26.24,-75,75,      ,0,     ,     ,1,1000,1
30, ,L,1, V,SCRU19UTE000,5,983,-93,0,-73.2,0,0,      ,0,     ,     ,1,1000,1
31, ,L,1, V,SCRU13UTE000,5,956,-93,0,-2.55,0,0,      ,0,     ,     ,1,1000,1
32, ,L,1, V,SCRU16UTE0  ,5,1000,-86,0,2.711,-180,220,      ,0,     ,     ,1,1000,1
35, ,L,1, V,CORUMBUHE0  ,5,980,-80,0,15.38,-120,120,      ,0,     ,     ,99,1000,1
36, ,L,1, V,S.MESAUHE0  ,5,1000,-105,0,-5.87,-190,190,      ,0,     ,     ,99,1000,1
37, ,L,1, T,S.MESASIN000,5,1009,-109,0,20.83,0,0,      ,0,     ,     ,1,1000,1
38, ,L,1, T,GRAJA2SIN0  ,5,1015,-98,0,23.22,-120,200,178,1.3,0,     ,1,1000,1
40, ,L,1, T,B.GER1SIN000,5,1047,-110,0,5.614,0,0,      ,0,     ,     ,1,1000,1
41, ,L,1, T,VITOR2SIN0  ,5,996,-122,0,19.83,-30,60,111,0,     ,     ,1,1000,1
42, ,L,0, T,BAND-1CER013,5,1022,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
43, ,L,0, T,BAND-2CER013,5,1022,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
44, ,L,1, T,GRAJA1SIN000,5,971,-98,0,-142,0,0,178,1.3,0,     ,1,1000,1
46, ,L,0, T,CAMPOSCER013,5,981,-110,0,     ,     ,     ,      ,0,     ,     ,1,1096,1
47, ,D,1, T,VITOR1SIN001,5,1000,0,0,0,-35,60,151,0,     ,     ,1,1000,1
48, ,L,1, T,IBIUNASIN0  ,5,1031,-69,0,-927,-1080,1200,86,0,     ,     ,1,1000,1
50, ,L,1, T,TPRETOSIN0  ,5,980,-75,0,59.63,-180,300,      ,0.55,0,     ,1,1000,1
55, ,L,0, T,BALTO-CER013,5,888,-118,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
56, ,L,0, I,IVAIP3-PR069,5,1003,-49,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
57, ,L,0, I,IVAIP2-PR069,5,1002,-49,0,     ,     ,     ,      ,0,     ,     ,1,960,1
58, ,L,0, U,IVAIP2-PR000,6,1002,-49,0,     ,     ,     ,      ,0,     ,     ,1,960,1
59, ,L,0, U,IVAIP3-PR000,6,1003,-49,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
60, ,L,0, A,F.IGUA-PR765,1,970,-37,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
61, ,L,0, C,FZ-500-PR500,3,1022,-31,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
62, ,L,0, A,IV-FZ1CAP765,1,1003,-58,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
63, ,L,0, A,IV-FZ2CAP765,1,1002,-58,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
64, ,L,0, A,IV-FZ3CAP765,1,999,-57,0,     ,     ,     ,      ,0,     ,     ,1,1034,1
65, ,L,0, A,IVAIPO-PR765,1,991,-50,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
66, ,L,0, B,IVAIPO-PR525,2,1030,-49,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
67, ,L,0, I,IVAIP1-PR069,5,1001,-49,0,     ,     ,     ,      ,0.24,0,     ,1,1000,1
68, ,L,0, U,IVAIP1-PR000,6,1001,-49,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
69, ,L,0, A,IV-IT1CAP765,1,1000,-41,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
70, ,L,0, A,IV-IT2CAP765,1,1000,-41,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
71, ,L,0, A,IV-IT3CAP765,1,999,-41,0,     ,     ,     ,      ,0,     ,     ,1,1030,1
72, ,L,0, A,ITABER-SP765,1,985,-58,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
73, ,L,0, A,IT-TP1CAP765,1,971,-48,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
74, ,L,0, A,IT-TP2CAP765,1,971,-48,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
75, ,L,0, A,IT-TP3CAP765,1,968,-48,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
76, ,L,0, A,TPRETO-SP765,1,943,-69,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
77, ,L,0, C,TPRETO-SP500,3,1060,-73,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
78, ,L,0, E,TPRETO-SP345,5,1025,-74,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
79, ,L,0, I,TPRETO-SP069,5,947,-73,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
80, ,L,0, U,TPRAT3-SP000,6,947,-73,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
81, ,L,0, U,TPRAT4-SP000,6,965,-75,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
82, ,L,0, E,TPRET2-SP345,5,1025,-74,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
85, ,L,0, C,FOZ500-PR500,3,1091,-2.1,0,     ,     ,     ,      ,60,0,     ,1,1000,1
86, ,L,0, E,IBIUNA-SP345,5,1035,-69,0,0,     ,     ,      ,66,0,     ,1,1000,1
87, ,L,0, C,RESEND-RJ500,3,1072,-85,0,     ,     ,     ,      ,99,20.1,     ,65,1000,1
90, ,L,0, E,VIANA--ES345,5,1011,-121,0,     ,     ,     ,      ,0,     ,     ,1,1010,1
91, ,L,0, N,VITOR1TAP013,5,1011,-125,0,     ,     ,     ,      ,0,     ,     ,11,1010,1
92, ,L,0, C,SB-SM1CAP500,3,993,-100,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
93, ,L,0, C,SB-SM2CAP500,3,1014,-101,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
94, ,L,0, C,SB-SM3CAP500,3,1014,-101,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
95, ,L,0, N,VITOR2TAP013,5,1011,-125,0,     ,     ,     ,      ,0,     ,     ,11,1010,1
96, ,L,0, N,VITOR3TAP013,5,1011,-125,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
98, ,L,0, G,JACAR2-RJ138,5,1020,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
99, ,L,0, B,ARARAQ-SP525,2,1058,-65,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
100, ,L,0, C,MARIMB-MG500,3,1100,-63,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
101, ,L,0, C,ARARAQ-SP500,3,1111,-66,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
102, ,L,0, C,P.CALD-MG500,3,1072,-75,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
103, ,L,0, C,CAMPIN-SP500,3,1112,-74,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
104, ,L,0, C,C.PAUL-SP500,3,1077,-82,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
105, ,L,0, C,ANGRA--RJ500,3,1065,-83,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
106, ,L,0, C,ADRIAN-RJ500,3,1056,-90,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
107, ,L,0, C,GRAJAU-RJ500,3,1056,-93,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
108, ,L,0, C,S.JOSE-RJ500,3,1062,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
109, ,L,0, C,BYPSAD-RJ500,3,1056,-90,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
110, ,L,0, U,GR1T52-RJ000,6,1010,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
111, ,L,0, N,VIT2CI-ES013,5,965,-122,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
112, ,L,0, C,BATEI1-PR500,3,1098,-67,0,     ,     ,     ,      ,0,     ,     ,1,1000,2
113, ,L,0, C,BATEI2-PR500,3,1098,-67,0,     ,     ,     ,      ,0,     ,     ,1,1000,2
116, ,L,0, G,IMBAR-TAP138,5,1026,-101,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
118, ,L,0, U,BANDT4-GO000,5,993,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
119, ,L,0, X,BANDTE-GO013,5,993,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
120, ,L,0, E,P.CALD-MG345,5,1044,-79,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
121, ,L,0, U,PCAT51-MG000,6,1038,-79,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
122, ,L,0, C,IBIUNA-SP500,3,1070,-70,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
