&     ,   Mont, Jus, Tp,J   di, hi, m, df, hf m     ,defluencia
DEFANT,2,4,  H,30,0,0,  F,          ,48
DEFANT,4,6,  H,30,0,0,  F,          ,96
DEFANT,24,31,  H,30,0,0,  F,          ,695
DEFANT,27,28,  H,30,0,0,  F,          ,246
DEFANT,28,31,  H,30,0,0,  F,          ,240
DEFANT,25,26,  H,30,0,0,  F,          ,230
DEFANT,33,44,  H,30,0,0,  F,          ,1906
DEFANT,156,169,  H,17,0,0,  F,          ,301
DEFANT,9,10,  H,30,0,0,  F,          ,844
DEFANT,11,12,  H,30,0,0,  F,          ,1082
DEFANT,134,135,  H,30,0,0,  F,          ,0
DEFANT,26,27,  H,30,0,0,  F,          ,225
DEFANT,10,11,  H,30,0,0,  F,          ,873
DEFANT,143,144,  H,30,0,0,  F,          ,66
DEFANT,162,169,  H,17,0,0,  F,          ,16
DEFANT,148,154,  H,26,0,0,  F,          ,36
DEFANT,193,141,  H,29,0,0,  F,          ,13
DEFANT,141,143,  H,30,0,0,  F,          ,64
DEFANT,14,15,  H,30,0,0,  F,          ,33
DEFANT,18,44,  H,30,0,0,  F,          ,1793
DEFANT,37,38,  H,30,0,0,  F,          ,424
DEFANT,40,42,  H,30,0,0,  F,          ,729
DEFANT,42,44,  H,30,0,0,  F,          ,783
DEFANT,15,16,  H,30,0,0,  F,          ,50
DEFANT,16,17,  H,28,0,0,  F,          ,36
DEFANT,38,39,  H,30,0,0,  F,          ,443
DEFANT,39,40,  H,30,0,0,  F,          ,492
DEFANT,62,63,  H,30,0,0,  F,          ,1694
DEFANT,63,66,  H,29,0,0,  F,          ,1904
DEFANT,52,61,  H,30,0,0,  F,          ,663
DEFANT,51,52,  H,30,0,0,  F,          ,627
DEFANT,47,48,  H,30,0,0,  F,          ,339
DEFANT,49,249,  H,30,0,0,  F,          ,596
DEFANT,61,62,  H,30,0,0,  F,          ,1652
DEFANT,50,51,  H,30,0,0,  F,          ,660
DEFANT,45,46,  H,30,0,0,  F,          ,6792
DEFANT,44,45,  H,30,0,0,  F,          ,6620
DEFANT,46,66,  H,29,0,0,  F,          ,7824
DEFANT,120,123,  H,28,0,0,  F,          ,9
DEFANT,121,122,  H,30,0,0,  F,          ,118
DEFANT,6,7,  H,30,0,0,  F,          ,938
DEFANT,7,8,  H,30,0,0,  F,          ,853
DEFANT,8,9,  H,30,0,0,  F,          ,676
DEFANT,12,17,  H,30,0,0,  F,          ,1085
DEFANT,17,18,  H,30,0,0,  F,          ,1382
DEFANT,31,32,  H,30,0,0,  F,          ,1010
DEFANT,30,31,  H,30,0,0,  F,          ,176
DEFANT,251,252,  H,30,0,0,  F,          ,312
DEFANT,123,125,  H,30,0,0,  F,          ,187
DEFANT,129,130,  H,30,0,0,  F,          ,37
DEFANT,20,21,  H,30,0,0,  F,          ,33
DEFANT,257,261,  H,29,0,0,  F,          ,534
DEFANT,257,261,  H,30,0,0,  F,          ,517
DEFANT,122,123,  H,27,0,0,  F,          ,128
DEFANT,124,183,  H,30,0,0,  F,          ,9
DEFANT,125,129,  H,30,0,0,  F,          ,72
DEFANT,180,181,  H,30,0,0,  F,          ,0
DEFANT,182,131,  H,30,0,0,  F,          ,108
DEFANT,107,37,  H,29,0,0,  F,          ,77
DEFANT,32,33,  H,30,0,0,  F,          ,892
DEFANT,135,141,  H,30,0,0,  F,          ,10
DEFANT,139,141,  H,29,0,0,  F,          ,31
DEFANT,262,241,  H,30,0,0,  F,          ,78
DEFANT,89,90,  H,30,0,0,  F,          ,13
DEFANT,110,111,  H,30,0,0,  F,          ,13
DEFANT,111,112,  H,30,0,0,  F,          ,385
DEFANT,112,113,  H,30,0,0,  F,          ,372
DEFANT,113,114,  H,30,0,0,  F,          ,434
DEFANT,74,76,  H,30,0,0,  F,          ,141
DEFANT,76,77,  H,30,0,0,  F,          ,124
DEFANT,73,77,  H,30,0,0,  F,          ,10
DEFANT,71,72,  H,30,0,0,  F,          ,30
DEFANT,72,73,  H,30,0,0,  F,          ,28
DEFANT,57,61,  H,30,0,0,  F,          ,79
DEFANT,77,78,  H,30,0,0,  F,          ,476
DEFANT,78,82,  H,30,0,0,  F,          ,455
DEFANT,93,94,  H,30,0,0,  F,          ,98
DEFANT,91,92,  H,30,0,0,  F,          ,274
DEFANT,92,103,  H,30,0,0,  F,          ,318
