&  ,ss ,di,hi,m,df,hf,m,   Demanda                                                                                         ,d2
DP ,1,6,1,0, F,  , ,39179,39179
DP ,1,6,2,1, F,  , ,36990,36990
DP ,1,6,3,0, F,  , ,36522,36522
DP ,1,6,4,1, F,  , ,36054,36054
DP ,1,6,5,0, F,  , ,35585,35585
DP ,1,6,6,1, F,  , ,35117,35117
DP ,1,6,7,0, F,  , ,34648,34648
DP ,1,6,8,1, F,  , ,34180,34180
DP ,1,6,9,0, F,  , ,33946,33946
DP ,1,6,10,1, F,  , ,34648,34648
DP ,1,6,11,0, F,  , ,35117,35117
DP ,1,6,12,1, F,  , ,35585,35585
DP ,1,6,13,0, F,  , ,36054,36054
DP ,1,6,14,1, F,  , ,36522,36522
DP ,1,6,15,0, F,  , ,36990,36990
DP ,1,6,16,1, F,  , ,38577,38577
DP ,1,6,17,0, F,  , ,40252,40252
DP ,1,6,18,1, F,  , ,41521,41521
DP ,1,6,19,0, F,  , ,42551,42551
DP ,1,6,20,1, F,  , ,43273,43273
DP ,1,6,21,0, F,  , ,44028,44028
DP ,1,6,22,1, F,  , ,44814,44814
DP ,1,6,23,0, F,  , ,44970,44970
DP ,1,6,24,1, F,  , ,45089,45089
DP ,1,6,25,0, F,  , ,44699,44699
DP ,1,6,26,1, F,  , ,44279,44279
DP ,1,6,27,0, F,  , ,45087,45087
DP ,1,6,28,1, F,  , ,45596,45596
DP ,1,6,29,0, F,  , ,45922,45922
DP ,1,6,30,1, F,  , ,46073,46073
DP ,1,6,31,0, F,  , ,46052,46052
DP ,1,6,32,1, F,  , ,45987,45987
DP ,1,6,33,0, F,  , ,45755,45755
DP ,1,6,34,1, F,  , ,45133,45133
DP ,1,6,35,0, F,  , ,43105,43105
DP ,1,6,36,1, F,  , ,42757,42757
DP ,1,6,37,0, F,  , ,44394,44394
DP ,1,6,38,1, F,  , ,45604,45604
DP ,1,6,39,0, F,  , ,45369,45369
DP ,1,6,40,1, F,  , ,44905,44905
DP ,1,6,41,0, F,  , ,44586,44586
DP ,1,6,42,1, F,  , ,44838,44838
DP ,1,6,43,0, F,  , ,44454,44454
DP ,1,6,44,1, F,  , ,43766,43766
DP ,1,6,45,0, F,  , ,43143,43143
DP ,1,6,46,1, F,  , ,42506,42506
DP ,1,6,47,0, F,  , ,40671,40671
DP ,1,6,48,1, F,  , ,39179,39179
DP ,2,6,1,0, F,  , ,10916,10916
DP ,2,6,2,1, F,  , ,10704,10704
DP ,2,6,3,0, F,  , ,10544,10544
DP ,2,6,4,1, F,  , ,10385,10385
DP ,2,6,5,0, F,  , ,10226,10226
DP ,2,6,6,1, F,  , ,10067,10067
DP ,2,6,7,0, F,  , ,9907,9907
DP ,2,6,8,1, F,  , ,9748,9748
DP ,2,6,9,0, F,  , ,9668,9668
DP ,2,6,10,1, F,  , ,9907,9907
DP ,2,6,11,0, F,  , ,10067,10067
DP ,2,6,12,1, F,  , ,10226,10226
DP ,2,6,13,0, F,  , ,10385,10385
DP ,2,6,14,1, F,  , ,10544,10544
DP ,2,6,15,0, F,  , ,10704,10704
DP ,2,6,16,1, F,  , ,11429,11429
DP ,2,6,17,0, F,  , ,12104,12104
DP ,2,6,18,1, F,  , ,12481,12481
DP ,2,6,19,0, F,  , ,12707,12707
DP ,2,6,20,1, F,  , ,13000,13000
DP ,2,6,21,0, F,  , ,13285,13285
DP ,2,6,22,1, F,  , ,13595,13595
DP ,2,6,23,0, F,  , ,13857,13857
DP ,2,6,24,1, F,  , ,13475,13475
DP ,2,6,25,0, F,  , ,12701,12701
DP ,2,6,26,1, F,  , ,12564,12564
DP ,2,6,27,0, F,  , ,13028,13028
DP ,2,6,28,1, F,  , ,13554,13554
DP ,2,6,29,0, F,  , ,13744,13744
DP ,2,6,30,1, F,  , ,13811,13811
DP ,2,6,31,0, F,  , ,13833,13833
DP ,2,6,32,1, F,  , ,13855,13855
DP ,2,6,33,0, F,  , ,13855,13855
DP ,2,6,34,1, F,  , ,13770,13770
DP ,2,6,35,0, F,  , ,13538,13538
DP ,2,6,36,1, F,  , ,13049,13049
DP ,2,6,37,0, F,  , ,12849,12849
DP ,2,6,38,1, F,  , ,13762,13762
DP ,2,6,39,0, F,  , ,13994,13994
DP ,2,6,40,1, F,  , ,13745,13745
DP ,2,6,41,0, F,  , ,13317,13317
DP ,2,6,42,1, F,  , ,13255,13255
DP ,2,6,43,0, F,  , ,13167,13167
DP ,2,6,44,1, F,  , ,12959,12959
DP ,2,6,45,0, F,  , ,12420,12420
DP ,2,6,46,1, F,  , ,12206,12206
DP ,2,6,47,0, F,  , ,11560,11560
DP ,2,6,48,1, F,  , ,10916,10916
DP ,3,6,1,0, F,  , ,5459,5459
DP ,3,6,2,1, F,  , ,4128,4128
DP ,3,6,3,0, F,  , ,4076,4076
DP ,3,6,4,1, F,  , ,4025,4025
DP ,3,6,5,0, F,  , ,3973,3973
DP ,3,6,6,1, F,  , ,3921,3921
DP ,3,6,7,0, F,  , ,3870,3870
DP ,3,6,8,1, F,  , ,3818,3818
DP ,3,6,9,0, F,  , ,3792,3792
DP ,3,6,10,1, F,  , ,3870,3870
DP ,3,6,11,0, F,  , ,3921,3921
DP ,3,6,12,1, F,  , ,3973,3973
DP ,3,6,13,0, F,  , ,4025,4025
DP ,3,6,14,1, F,  , ,4076,4076
DP ,3,6,15,0, F,  , ,4128,4128
DP ,3,6,16,1, F,  , ,4284,4284
DP ,3,6,17,0, F,  , ,4542,4542
DP ,3,6,18,1, F,  , ,4778,4778
DP ,3,6,19,0, F,  , ,4923,4923
DP ,3,6,20,1, F,  , ,4962,4962
DP ,3,6,21,0, F,  , ,5058,5058
DP ,3,6,22,1, F,  , ,5066,5066
DP ,3,6,23,0, F,  , ,5073,5073
DP ,3,6,24,1, F,  , ,5047,5047
DP ,3,6,25,0, F,  , ,5045,5045
DP ,3,6,26,1, F,  , ,5084,5084
DP ,3,6,27,0, F,  , ,5244,5244
DP ,3,6,28,1, F,  , ,5387,5387
DP ,3,6,29,0, F,  , ,5541,5541
DP ,3,6,30,1, F,  , ,5629,5629
DP ,3,6,31,0, F,  , ,5627,5627
DP ,3,6,32,1, F,  , ,5579,5579
DP ,3,6,33,0, F,  , ,5479,5479
DP ,3,6,34,1, F,  , ,5348,5348
DP ,3,6,35,0, F,  , ,5005,5005
DP ,3,6,36,1, F,  , ,4822,4822
DP ,3,6,37,0, F,  , ,4705,4705
DP ,3,6,38,1, F,  , ,4816,4816
DP ,3,6,39,0, F,  , ,4878,4878
DP ,3,6,40,1, F,  , ,4972,4972
DP ,3,6,41,0, F,  , ,4985,4985
DP ,3,6,42,1, F,  , ,5014,5014
DP ,3,6,43,0, F,  , ,5059,5059
DP ,3,6,44,1, F,  , ,5243,5243
DP ,3,6,45,0, F,  , ,5475,5475
DP ,3,6,46,1, F,  , ,5470,5470
DP ,3,6,47,0, F,  , ,5479,5479
DP ,3,6,48,1, F,  , ,5459,5459
DP ,4,6,1,0, F,  , ,9678,9678
DP ,4,6,2,1, F,  , ,8565,8565
DP ,4,6,3,0, F,  , ,8444,8444
DP ,4,6,4,1, F,  , ,8323,8323
DP ,4,6,5,0, F,  , ,8203,8203
DP ,4,6,6,1, F,  , ,8082,8082
DP ,4,6,7,0, F,  , ,7961,7961
DP ,4,6,8,1, F,  , ,7840,7840
DP ,4,6,9,0, F,  , ,7780,7780
DP ,4,6,10,1, F,  , ,7961,7961
DP ,4,6,11,0, F,  , ,8082,8082
DP ,4,6,12,1, F,  , ,8203,8203
DP ,4,6,13,0, F,  , ,8323,8323
DP ,4,6,14,1, F,  , ,8444,8444
DP ,4,6,15,0, F,  , ,8565,8565
DP ,4,6,16,1, F,  , ,8993,8993
