"media","q50.50%","q75.75%","q90.90%","desvio_Media","desvio_q50","desvio_q75","desvio_q90"
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
6.4389252732974e-05,0,0,0,0.000490373939270457,0.000494656762413964,0.000494656762413964,0.000494656762413964
0.00483498282123882,0,0.000456063918224019,0.0183894559188856,0.0114952893131971,0.0124871477574268,0.0123147476404231,0.0178630523952223
0.0218658199909676,0,0.0291120356897013,0.0748961873712523,0.0351526082274417,0.0414994929541701,0.0359045219136183,0.0640098658043041
0.0656534866866554,0.0320086058081659,0.0881186987632901,0.182225804873593,0.0778915165397828,0.0849642608484094,0.0811210714829652,0.141048215421777
0.0674555997046344,0.0558180695897436,0.0969555162423533,0.120698435392844,0.06175370925353,0.0628595952550187,0.0685494940883658,0.08184163661711
0.146917220233535,0.115153237062098,0.186091044773919,0.331836487191862,0.110417215917965,0.114972227455944,0.117275200728753,0.21676487611634
0.427565865391246,0.429065061191882,0.480087373486038,0.522689497550578,0.0847101161328887,0.0847236270782657,0.099926953742859,0.128030754450472
0.923322711457752,0.928805903068162,0.941847304173612,0.946765609243737,0.0199484308627472,0.0207017402796995,0.0273396279035006,0.0309465113162905
0.999843193573973,0.999854534875264,0.999894360716437,0.999933008085389,7.05248523795904e-05,7.14476162282932e-05,8.74088906731531e-05,0.000114846783176334
0,0,0,0,0,0,0,0
0.0487684729064039,0,0,0.0600000000000009,0.160178795615049,0.167562932051325,0.167562932051325,0.160578973948424
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
