 ICUT ,TP.ENTID,ID.ENT,   NomeEntid   ,TP.COEF,ILAG ,IPAT ,     Val.Coef      ,      Unid      
1, RHS    ,0,      -        ,  RHS  ,0,0,112984182.6,  1000$         
1, USIH   ,1, CAMARGOS      , VARM  ,0,1,-372.886, (1000$/hm3)    
1, USIH   ,2, ITUTINGA      , VARM  ,0,1,-361.109, (1000$/hm3)    
1, USIH   ,4, FUNIL-GRANDE  , VARM  ,0,1,-345.917, (1000$/hm3)    
1, USIH   ,24, EMBORCACAO    , VARM  ,0,1,-265.294, (1000$/hm3)    
1, USIH   ,27, CAPIM BRANC1  , VARM  ,0,1,-257.249, (1000$/hm3)    
1, USIH   ,28, CAPIM BRANC2  , VARM  ,0,1,-226.362, (1000$/hm3)    
1, USIH   ,25, NOVA PONTE    , VARM  ,0,1,-351.665, (1000$/hm3)    
1, USIH   ,33, SAO SIMAO     , VARM  ,0,1,-141.887, (1000$/hm3)    
1, USIH   ,156, TRES MARIAS   , VARM  ,0,1,-169.021, (1000$/hm3)    
1, USIH   ,134, SALTO GRANDE  , VARM  ,0,1,-24.764, (1000$/hm3)    
1, USIH   ,10, IGARAPAVA     , VARM  ,0,1,-197.928, (1000$/hm3)    
1, USIH   ,143, AIMORES       , VARM  ,0,1,-14.961, (1000$/hm3)    
1, USIH   ,162, QUEIMADO      , VARM  ,0,1,-237.344, (1000$/hm3)    
1, USIH   ,148, IRAPE         , VARM  ,0,1,-127.789, (1000$/hm3)    
1, USIH   ,217, ROSAL         , VARM  ,0,1,0, (1000$/hm3)    
1, USIH   ,193, SA CARVALHO   , VARM  ,0,1,-24.764, (1000$/hm3)    
1, USIH   ,141, BAGUARI       , VARM  ,0,1,-24.764, (1000$/hm3)    
1, USIH   ,14, CACONDE       , VARM  ,0,1,-270.202, (1000$/hm3)    
1, USIH   ,18, A. VERMELHA   , VARM  ,0,1,-131.167, (1000$/hm3)    
1, USIH   ,37, BARRA BONITA  , VARM  ,0,1,-165.717, (1000$/hm3)    
1, USIH   ,40, PROMISSAO     , VARM  ,0,1,-132.077, (1000$/hm3)    
1, USIH   ,42, NAVANHANDAVA  , VARM  ,0,1,-119.046, (1000$/hm3)    
1, USIH   ,15, E. DA CUNHA   , VARM  ,0,1,-218.577, (1000$/hm3)    
1, USIH   ,16, A.S.OLIVEIRA  , VARM  ,0,1,-175.1, (1000$/hm3)    
1, USIH   ,38, A.S. LIMA     , VARM  ,0,1,-154.592, (1000$/hm3)    
1, USIH   ,39, IBITINGA      , VARM  ,0,1,-142.888, (1000$/hm3)    
1, USIH   ,62, TAQUARUCU     , VARM  ,0,1,-80.848, (1000$/hm3)    
1, USIH   ,63, ROSANA        , VARM  ,0,1,-67.808, (1000$/hm3)    
1, USIH   ,52, CANOAS I      , VARM  ,0,1,-110.624, (1000$/hm3)    
1, USIH   ,51, CANOAS II     , VARM  ,0,1,-118.072, (1000$/hm3)    
1, USIH   ,47, A.A. LAYDNER  , VARM  ,0,1,-203.498, (1000$/hm3)    
1, USIH   ,49, CHAVANTES     , VARM  ,0,1,-173.283, (1000$/hm3)    
1, USIH   ,61, CAPIVARA      , VARM  ,0,1,-104.397, (1000$/hm3)    
1, USIH   ,50, L.N. GARCEZ   , VARM  ,0,1,-127.12, (1000$/hm3)    
1, USIH   ,45, JUPIA         , VARM  ,0,1,-78.369, (1000$/hm3)    
1, USIH   ,44, I. SOLT. EQV  , VARM  ,0,1,-103.017, (1000$/hm3)    
1, USIH   ,46, P. PRIMAVERA  , VARM  ,0,1,-66.144, (1000$/hm3)    
1, USIH   ,120, JAGUARI       , VARM  ,0,1,-243.07, (1000$/hm3)    
1, USIH   ,121, PARAIBUNA     , VARM  ,0,1,-275.602, (1000$/hm3)    
1, USIH   ,6, FURNAS        , VARM  ,0,1,-324.534, (1000$/hm3)    
1, USIH   ,7, M. DE MORAES  , VARM  ,0,1,-279.03, (1000$/hm3)    
1, USIH   ,8, ESTREITO      , VARM  ,0,1,-257.586, (1000$/hm3)    
1, USIH   ,12, P. COLOMBIA   , VARM  ,0,1,-173.246, (1000$/hm3)    
1, USIH   ,17, MARIMBONDO    , VARM  ,0,1,-162.428, (1000$/hm3)    
1, USIH   ,31, ITUMBIARA     , VARM  ,0,1,-201.939, (1000$/hm3)    
1, USIH   ,30, CORUMBA I     , VARM  ,0,1,-237.029, (1000$/hm3)    
1, USIH   ,251, SERRA MESA    , VARM  ,0,1,-136.462, (1000$/hm3)    
1, USIH   ,278, MANSO         , VARM  ,0,1,-31.548, (1000$/hm3)    
1, USIH   ,123, FUNIL         , VARM  ,0,1,-47.534, (1000$/hm3)    
1, USIH   ,129, SIMPLICIO     , VARM  ,0,1,-14.279, (1000$/hm3)    
1, USIH   ,20, BATALHA       , VARM  ,0,1,-323.378, (1000$/hm3)    
1, USIH   ,287, STO ANTONIO   , VARM  ,0,1,2.893, (1000$/hm3)    
