&us,     nome     ,Gp,  ug,   st,   GerInic   ,  tempo st,Tx Var,Ger min,Ofe Res,Barra,
1,  CAMARGOS,1,1,1,4.6,96,11,4.6,514,1501,26
1,  CAMARGOS,1,2,0,0,96,11,4.6,514,1501,26
2, ITUTINGA       2                                            ,1,1,1,5,96,11,5,288,1538,12.5
2, ITUTINGA       2                                            ,1,2,1,5,96,11,5,288,1538,12.5
2, ITUTINGA       1                                            ,2,1,0,0,96,11,5.6,288,1538,14
2, ITUTINGA       1                                            ,3,1,0,0,96,11,5.2,869,1538,13
4, FUNIL GRANDE   3                                            ,1,1,1,24,96,11,24,908,4044,60
4, FUNIL GRANDE   3                                            ,1,2,1,24,96,11,24,477,4044,60
4, FUNIL GRANDE   3                                            ,1,3,0,0,96,11,24,197,4044,60
6, FURNAS         6                                            ,1,1,1,150,96,50,65.6,683,16,164
6, FURNAS         6                                            ,1,2,1,150,96,50,65.6,642,16,164
6, FURNAS         6                                            ,1,3,1,150,96,50,65.6,609,16,164
6, FURNAS         6                                            ,1,4,0,0,96,50,65.6,609,16,164
6, FURNAS         6                                            ,1,5,0,0,96,50,65.6,199,16,164
6, FURNAS         6                                            ,1,6,0,0,96,50,65.6,199,16,164
6, FURNAS         2                                            ,2,1,0,0,96,50,65.6,339,16,164
6, FURNAS         2                                            ,2,2,0,0,96,50,65.6,318,16,164
7, M. DE MORAES   2                                            ,1,1,1,20,96,15,15.2,855,24,38
7, M. DE MORAES   2                                            ,1,2,1,20,96,15,15.2,160,24,38
7, M. DE MORAES   2                                            ,2,1,1,40,96,15,18,319,24,45
7, M. DE MORAES   2                                            ,2,2,1,40,96,15,18,659,24,45
7, M. DE MORAES   4                                            ,3,1,1,50,96,15,20.4,474,22,51
7, M. DE MORAES   4                                            ,3,2,1,50,96,15,20.4,977,22,51
7, M. DE MORAES   4                                            ,3,3,1,50,96,15,20.4,151,22,51
7, M. DE MORAES   4                                            ,3,4,1,50,96,15,20.4,681,22,51
7, M. DE MORAES   2                                            ,4,1,0,0,96,15,21.6,233,22,54
7, M. DE MORAES   2                                            ,4,2,0,0,96,15,21.6,912,22,54
8, L.C.BARRETO    6                                            ,1,1,1,150,96,50,73.6,738,12,184
8, L.C.BARRETO    6                                            ,1,2,1,150,96,50,73.6,292,12,184
8, L.C.BARRETO    6                                            ,1,3,1,150,96,50,73.6,84,12,184
8, L.C.BARRETO    6                                            ,1,4,0,0,96,50,73.6,492,12,184
8, L.C.BARRETO    6                                            ,1,5,0,0,96,50,73.6,548,12,184
8, L.C.BARRETO    6                                            ,1,6,0,0,96,50,73.6,545,12,184
9, JAGUARA        4                                            ,1,1,1,100,96,80,42.4,502,301,106
9, JAGUARA        4                                            ,1,2,1,100,96,80,42.4,714,301,106
9, JAGUARA        4                                            ,1,3,1,100,96,80,42.4,567,301,106
9, JAGUARA        4                                            ,1,4,0,0,96,80,42.4,392,301,106
10, IGARAPAVA      5                                            ,1,1,1,38,96,100,16.8,392,343,42
10, IGARAPAVA      5                                            ,1,2,1,38,96,100,16.8,392,343,42
10, IGARAPAVA      5                                            ,1,3,1,38,96,100,16.8,392,343,42
10, IGARAPAVA      5                                            ,1,4,0,0,96,100,16.8,392,343,42
10, IGARAPAVA      5                                            ,1,5,0,0,96,100,16.8,584,343,42
11, V. GRANDE      4                                            ,1,1,1,95,96,90,38,484,305,95
11, V. GRANDE      4                                            ,1,2,1,95,96,90,38,124,305,95
11, V. GRANDE      4                                            ,1,3,1,95,96,90,38,457,305,95
11, V. GRANDE      4                                            ,1,4,0,0,96,90,38,463,305,95
12, P.COLOMBIA     4                                            ,1,1,1,80,96,80,32.8,162,28,82
12, P.COLOMBIA     4                                            ,1,2,1,80,96,80,32.8,951,28,82
12, P.COLOMBIA     4                                            ,1,3,1,80,96,80,32.8,486,28,82
12, P.COLOMBIA     4                                            ,1,4,1,80,96,80,32.8,372,28,82
14, CACONDE        1                                            ,1,1,1,16.48,96,10,16.48,177,521,41.2
14, CACONDE        1                                            ,2,1,0,0,96,10,15.68,408,521,39.2
15, E. CUNHA       4                                            ,1,1,1,10.88,96,10,10.88,123,522,27.2
15, E. CUNHA       4                                            ,1,2,1,10.88,96,10,10.88,765,522,27.2
15, E. CUNHA       4                                            ,1,3,0,0,96,10,10.88,996,522,27.2
15, E. CUNHA       4                                            ,1,4,0,0,96,10,10.88,487,522,27.2
16, A.S. OLIVEIR   2                                            ,1,1,1,6.4,96,10,6.4,487,523,16
16, A.S. OLIVEIR   2                                            ,1,2,0,0,96,10,6.4,521,523,16
17, MARIMBONDO     8                                            ,1,1,1,150,96,40,74.4,276,20,186
17, MARIMBONDO     8                                            ,1,2,1,150,96,40,74.4,146,20,186
17, MARIMBONDO     8                                            ,1,3,1,150,96,40,74.4,888,20,186
17, MARIMBONDO     8                                            ,1,4,1,150,96,40,74.4,778,20,186
17, MARIMBONDO     8                                            ,1,5,1,150,96,40,74.4,809,20,186
17, MARIMBONDO     8                                            ,1,6,0,0,96,40,74.4,224,20,186
17, MARIMBONDO     8                                            ,1,7,0,0,96,40,74.4,714,20,186
17, MARIMBONDO     8                                            ,1,8,0,0,96,40,74.4,216,20,186
18, A. VERMELHA    6                                            ,1,1,1,200,96,50,93.08,903,500,232.7
18, A. VERMELHA    6                                            ,1,2,1,200,96,50,93.08,845,500,232.7
18, A. VERMELHA    6                                            ,1,3,1,200,96,50,93.08,845,500,232.7
18, A. VERMELHA    6                                            ,1,4,1,200,96,50,93.08,665,500,232.7
18, A. VERMELHA    6                                            ,1,5,0,0,96,50,93.08,538,500,232.7
18, A. VERMELHA    6                                            ,1,6,0,0,96,50,93.08,706,500,232.7
20, BATALHA        2                                            ,1,1,1,10.52,96,50,10.52,821,9446,26.3
20, BATALHA        2                                            ,1,2,0,0,96,50,10.52,390,9446,26.3
21, SERRA FACAO    2                                            ,1,1,1,42.52,96,80,42.52,970,3014,106.3
21, SERRA FACAO    2                                            ,1,2,0,0,96,80,42.52,960,3014,106.3
24, EMBORCAÇÃO     4                                            ,1,1,1,250,96,120,119.2,685,300,298
24, EMBORCAÇÃO     4                                            ,1,2,1,250,96,120,119.2,411,300,298
24, EMBORCAÇÃO     4                                            ,1,3,1,250,96,120,119.2,861,300,298
24, EMBORCAÇÃO     4                                            ,1,4,0,0,96,120,119.2,212,300,298
25, NOVA PONTE     3                                            ,1,1,1,150,96,120,68,187,302,170
25, NOVA PONTE     3                                            ,1,2,1,150,96,120,68,965,302,170
25, NOVA PONTE     3                                            ,1,3,0,0,96,120,68,957,302,170
26, MIRANDA        3                                            ,1,1,1,120,96,80,54.4,111,312,136
26, MIRANDA        3                                            ,1,2,1,120,96,80,54.4,427,312,136
26, MIRANDA        3                                            ,1,3,0,0,96,80,54.4,705,312,136
27, CAPIM BRANCO1  3                                            ,1,1,1,80,96,100,32,445,4052,80
27, CAPIM BRANCO1  3                                            ,1,2,1,80,96,100,32,472,4052,80
27, CAPIM BRANCO1  3                                            ,1,3,0,0,96,100,32,144,4052,80
28, CAPIM BRANCO2  3                                            ,1,1,1,70,96,100,28,678,4054,70
28, CAPIM BRANCO2  3                                            ,1,2,1,70,96,100,28,671,4054,70
28, CAPIM BRANCO2  3                                            ,1,3,0,0,96,100,28,839,4054,70
31, ITUMBIARA      6                                            ,1,1,1,350,96,50,138.8,423,18,347
31, ITUMBIARA      6                                            ,1,2,1,350,96,50,138.8,665,18,347
31, ITUMBIARA      6                                            ,1,3,1,350,96,50,138.8,424,18,347
31, ITUMBIARA      6                                            ,1,4,1,350,96,50,138.8,770,18,347
31, ITUMBIARA      6                                            ,1,5,0,0,96,50,138.8,320,18,347
31, ITUMBIARA      6                                            ,1,6,0,0,96,50,138.8,432,18,347
32, C. DOURADA     2                                            ,1,1,1,6.8,96,50,6.8,776,750,17
32, C. DOURADA     2                                            ,1,2,1,6.8,96,50,6.8,337,750,17
32, C. DOURADA     2                                            ,2,1,0,0,96,50,21.6,161,751,54
32, C. DOURADA     2                                            ,2,2,0,0,96,50,21.6,449,751,54
32, C. DOURADA     1                                            ,2,3,1,21.6,96,50,21.6,278,752,54
32, C. DOURADA     3                                            ,3,1,1,33.6,96,50,33.6,961,753,84
32, C. DOURADA     3                                            ,3,2,1,33.6,96,50,33.6,852,753,84
32, C. DOURADA     3                                            ,3,3,1,33.6,96,50,33.6,679,753,84
32, C. DOURADA     2                                            ,4,1,0,0,96,50,42,382,754,105
32, C. DOURADA     2                                            ,4,2,0,0,96,50,42,532,754,105
33, SAO SIMAO      6                                            ,1,1,1,270,96,200,114,230,303,285
33, SAO SIMAO      6                                            ,1,2,1,270,96,200,114,193,303,285
33, SAO SIMAO      6                                            ,1,3,1,270,96,200,114,280,303,285
33, SAO SIMAO      6                                            ,1,4,1,270,96,200,114,930,303,285
33, SAO SIMAO      6                                            ,1,5,1,270,96,200,114,287,303,285
33, SAO SIMAO      6                                            ,1,6,1,270,96,200,114,787,303,285
34, I.SOLTEIRA     4                                            ,1,1,1,170,96,60,70.4,590,501,176
34, I.SOLTEIRA     4                                            ,1,2,1,170,96,60,70.4,697,501,176
34, I.SOLTEIRA     4                                            ,1,3,1,170,96,60,70.4,583,501,176
34, I.SOLTEIRA     4                                            ,1,4,1,170,96,60,70.4,380,501,176
34, I.SOLTEIRA    11                                            ,2,1,1,170,96,60,68,543,501,170
34, I.SOLTEIRA    11                                            ,2,2,1,170,96,60,68,345,501,170
34, I.SOLTEIRA    11                                            ,2,3,1,170,96,60,68,976,501,170
34, I.SOLTEIRA    11                                            ,2,4,1,170,96,60,68,629,501,170
34, I.SOLTEIRA    11                                            ,2,5,1,170,96,60,68,599,501,170
34, I.SOLTEIRA    11                                            ,2,6,1,170,96,60,68,963,501,170
34, I.SOLTEIRA    11                                            ,2,7,1,170,96,60,68,753,501,170
34, I.SOLTEIRA    11                                            ,2,8,1,170,96,60,68,951,501,170
34, I.SOLTEIRA    11                                            ,2,9,1,170,96,60,68,89,501,170
34, I.SOLTEIRA    11                                            ,2,10,1,170,96,60,68,210,501,170
34, I.SOLTEIRA    11                                            ,2,11,1,170,96,60,68,448,501,170
34, I.SOLTEIRA     5                                            ,3,1,1,170,96,60,69.6,194,501,174
34, I.SOLTEIRA     5                                            ,3,2,1,170,96,60,69.6,294,501,174
34, I.SOLTEIRA     5                                            ,3,3,1,170,96,60,69.6,226,501,174
34, I.SOLTEIRA     5                                            ,3,4,1,170,96,60,69.6,922,501,174
34, I.SOLTEIRA     5                                            ,3,5,0,0,96,60,69.6,288,501,174
37, BARRA BONITA   4                                            ,1,1,1,14,96,40,14,468,516,35
37, BARRA BONITA   4                                            ,1,2,1,14,96,40,14,413,516,35
37, BARRA BONITA   4                                            ,1,3,1,14,96,40,14,446,516,35
37, BARRA BONITA   4                                            ,1,4,1,14,96,40,14,975,516,35
38, A.S.LIMA (BA   2                                            ,1,1,1,19.2,96,20,19.2,894,515,48
38, A.S.LIMA (BA   2                                            ,1,2,1,19.2,96,20,19.2,163,515,48
38, A.S.LIMA (BA   1                                            ,1,3,1,19.2,96,20,19.2,495,524,48
39, IBITINGA       3                                            ,1,1,1,17.52,96,40,17.52,886,517,43.8
39, IBITINGA       3                                            ,1,2,1,17.52,96,40,17.52,578,517,43.8
39, IBITINGA       3                                            ,1,3,1,17.52,96,40,17.52,234,517,43.8
40, PROMISSAO      3                                            ,1,1,1,35.2,96,80,35.2,332,519,88
40, PROMISSAO      3                                            ,1,2,1,35.2,96,80,35.2,535,519,88
40, PROMISSAO      3                                            ,1,3,1,35.2,96,80,35.2,384,519,88
42, NAVANHANDAVA   3                                            ,1,1,1,46.32,96,80,46.32,976,518,115.8
42, NAVANHANDAVA   3                                            ,1,2,1,46.32,96,80,46.32,798,518,115.8
42, NAVANHANDAVA   3                                            ,1,3,1,46.32,96,80,46.32,553,518,115.8
43, TRÊS IRMÃOS    5                                            ,1,1,1,64.6,96,160,64.6,417,520,161.5
43, TRÊS IRMÃOS    5                                            ,1,2,1,64.6,96,160,64.6,266,520,161.5
43, TRÊS IRMÃOS    5                                            ,1,3,1,64.6,96,160,64.6,928,520,161.5
43, TRÊS IRMÃOS    5                                            ,1,4,0,0,96,160,64.6,527,520,161.5
43, TRÊS IRMÃOS    5                                            ,1,5,0,0,96,160,64.6,592,520,161.5
45, JUPIA         12                                            ,1,1,1,100,96,40,44.32,592,502,110.8
45, JUPIA         12                                            ,1,2,1,100,96,40,44.32,536,502,110.8
45, JUPIA         12                                            ,1,3,1,100,96,40,44.32,583,502,110.8
45, JUPIA         12                                            ,1,4,1,100,96,40,44.32,692,502,110.8
45, JUPIA         12                                            ,1,5,1,100,96,40,44.32,888,502,110.8
45, JUPIA         12                                            ,1,6,1,100,96,40,44.32,586,502,110.8
45, JUPIA         12                                            ,1,7,1,100,96,40,44.32,386,502,110.8
45, JUPIA         12                                            ,1,8,1,100,96,40,44.32,983,502,110.8
45, JUPIA         12                                            ,1,9,1,100,96,40,44.32,341,502,110.8
45, JUPIA         12                                            ,1,10,1,100,96,40,44.32,476,502,110.8
45, JUPIA         12                                            ,1,11,1,100,96,40,44.32,909,502,110.8
45, JUPIA         12                                            ,1,12,1,100,96,40,44.32,568,502,110.8
45, JUPIA          2                                            ,1,13,1,100,96,40,44.32,744,503,110.8
45, JUPIA          2                                            ,1,14,1,100,96,40,44.32,587,503,110.8
46, P.PRIMAVERA   14                                            ,1,1,1,100,96,40,44,835,510,110
46, P.PRIMAVERA   14                                            ,1,2,1,100,96,40,44,349,510,110
46, P.PRIMAVERA   14                                            ,1,3,1,100,96,40,44,650,510,110
46, P.PRIMAVERA   14                                            ,1,4,1,100,96,40,44,422,510,110
46, P.PRIMAVERA   14                                            ,1,5,1,100,96,40,44,159,510,110
46, P.PRIMAVERA   14                                            ,1,6,1,100,96,40,44,694,510,110
46, P.PRIMAVERA   14                                            ,1,7,1,100,96,40,44,694,510,110
46, P.PRIMAVERA   14                                            ,1,8,1,100,96,40,44,369,510,110
46, P.PRIMAVERA   14                                            ,1,9,1,100,96,40,44,662,510,110
46, P.PRIMAVERA   14                                            ,1,10,1,100,96,40,44,413,510,110
46, P.PRIMAVERA   14                                            ,1,11,1,100,96,40,44,142,510,110
46, P.PRIMAVERA   14                                            ,1,12,1,100,96,40,44,776,510,110
46, P.PRIMAVERA   14                                            ,1,13,1,100,96,40,44,776,510,110
46, P.PRIMAVERA   14                                            ,1,14,1,100,96,40,44,114,510,110
47, A.A.LAYDNER    2                                            ,1,1,1,20.2,96,90,20.2,400,506,50.5
47, A.A.LAYDNER    2                                            ,1,2,0,0,96,90,20.2,400,506,50.5
48, PIRAJU (CBA)   2                                            ,1,1,1,16,96,50,16,513,614,40
48, PIRAJU (CBA)   2                                            ,1,2,0,0,96,50,16,993,614,40
49, CHAVANTES      1                                            ,1,1,1,41.4,96,40,41.4,730,514,103.5
49, CHAVANTES      3                                            ,2,1,0,0,96,40,41.4,382,514,103.5
49, CHAVANTES      3                                            ,2,2,0,0,96,40,41.4,382,514,103.5
49, CHAVANTES      3                                            ,2,3,0,0,96,40,41.4,976,514,103.5
50, L.N.GARCEZ (   4                                            ,1,1,1,7.4,96,20,7.4,110,512,18.5
50, L.N.GARCEZ (   4                                            ,1,2,1,7.4,96,20,7.4,993,512,18.5
50, L.N.GARCEZ (   4                                            ,1,3,0,0,96,20,7.4,559,512,18.5
50, L.N.GARCEZ (   4                                            ,1,4,0,0,96,20,7.4,468,512,18.5
51, CANOAS 2       3                                            ,1,1,1,9.6,96,20,9.6,189,509,24
51, CANOAS 2       3                                            ,1,2,0,0,96,20,9.6,280,509,24
51, CANOAS 2       3                                            ,1,3,0,0,96,20,9.6,873,509,24
52, CANOAS 1       3                                            ,1,1,1,11,96,20,11,491,508,27.5
52, CANOAS 1       3                                            ,1,2,0,0,96,20,11,277,508,27.5
52, CANOAS 1       3                                            ,1,3,0,0,96,20,11,889,508,27.5
57, MAUA           3                                            ,1,1,1,46.96,96,200,46.96,336,983,117.4
57, MAUA           3                                            ,1,2,0,0,96,200,46.96,336,983,117.4
57, MAUA           3                                            ,1,3,0,0,96,200,46.96,929,983,117.4
58,SÃO JERONIMO,1,1,1,50,96,200,50,929,983,165
58,SÃO JERONIMO,1,2,0,0,96,200,50,929,983,165
61, CAPIVARA       3                                            ,1,1,1,150,96,50,60.8,663,507,152
61, CAPIVARA       3                                            ,1,2,1,150,96,50,60.8,245,507,152
61, CAPIVARA       3                                            ,1,3,1,150,96,50,60.8,245,507,152
61, CAPIVARA       1                                            ,2,1,1,150,96,50,65.2,959,507,163
62, TAQUARUÇU      5                                            ,1,1,1,80,96,50,42,959,513,105
62, TAQUARUÇU      5                                            ,1,2,1,80,96,50,42,959,513,105
62, TAQUARUÇU      5                                            ,1,3,1,80,96,50,42,1000,513,105
62, TAQUARUÇU      5                                            ,1,4,1,80,96,50,42,1000,513,105
62, TAQUARUÇU      5                                            ,1,5,1,80,96,50,42,762,513,105
63, ROSANA         2                                            ,1,1,1,80,96,55,35.4,150,511,88.5
63, ROSANA         2                                            ,1,2,1,80,96,55,35.4,681,511,88.5
63, ROSANA         2                                            ,1,3,1,80,96,55,35.4,397,505,88.5
