&us,     nome     ,  ug,   st,   GerInic   ,  tempo st,Decresc,Acres ,Barra
97, E.ROCHA_DESS ,1,1,105,96,80,30,9100
97, E.ROCHA_DESS ,2,1,45,96,30,10,9100
62, B.L.SOBR_DES ,1,0,0,31,25,35,3974
62, B.L.SOBR_DES ,2,0,0,31,25,35,3974
62, B.L.SOBR_DES ,3,0,0,31,25,35,3974
62, B.L.SOBR_DES ,4,0,0,31,25,35,3974
62, B.L.SOBR_DES ,5,0,0,31,25,35,3974
62, B.L.SOBR_DES ,6,0,0,31,25,35,3974
62, B.L.SOBR_DES ,7,0,0,31,25,35,3974
62, B.L.SOBR_DES ,8,0,0,31,25,35,3974
60, N.FLU_DESSEM ,1,1,178,144,150,100,3962
60, N.FLU_DESSEM ,2,1,178,144,150,100,3962
60, N.FLU_DESSEM ,3,1,180,144,150,100,3962
60, N.FLU_DESSEM ,4,1,291,144,200,150,3962
47, G.L.BRIZOL_D ,1,1,107,96,40,10,4204
47, G.L.BRIZOL_D ,2,1,108,96,40,10,4204
47, G.L.BRIZOL_D ,3,1,169,96,60,30,4204
47, G.L.BRIZOL_D ,4,1,108,96,40,10,4204
47, G.L.BRIZOL_D ,5,1,107,96,40,10,4204
47, G.L.BRIZOL_D ,6,1,112,96,60,30,4204
47, G.L.BRIZOL_D ,7,1,107,96,40,10,4204
47, G.L.BRIZOL_D ,8,1,106,96,40,10,4204
47, G.L.BRIZOL_D ,9,1,113,96,60,30,4204
68, L.C.PRESTES_ ,1,1,58,96,50,20,4301
68, L.C.PRESTES_ ,2,1,58,96,50,20,4301
68, L.C.PRESTES_ ,3,1,57,96,50,20,4301
68, L.C.PRESTES_ ,4,1,58,96,50,20,4300
68, L.C.PRESTES_ ,5,1,61,96,50,20,4300
68, L.C.PRESTES_ ,6,1,57,96,50,20,4300
90, M.LAGO       ,6,0,0,17,35,35,3977
90, M.LAGO       ,7,1,35,17,35,35,3977
90, M.LAGO       ,8,1,35,17,35,35,3977
90, M.LAGO       ,9,1,35,17,35,35,3977
90, M.LAGO       ,10,0,0,17,35,35,3977
90, M.LAGO       ,11,1,35,17,35,35,3977
90, M.LAGO       ,12,1,35,17,35,35,3977
90, M.LAGO       ,13,1,35,17,35,35,3977
90, M.LAGO       ,14,1,35,17,35,35,3977
90, M.LAGO       ,15,0,0,17,35,35,3977
90, M.LAGO       ,18,1,35,17,35,35,3977
90, M.LAGO       ,19,0,0,17,35,35,3977
90, M.LAGO       ,20,0,0,17,35,35,3977
90, M.LAGO       ,1,1,35,17,35,35,3977
90, M.LAGO       ,16,0,0,17,35,35,3977
90, M.LAGO       ,17,1,35,17,35,35,3977
90, M.LAGO       ,2,1,35,17,35,35,3977
90, M.LAGO       ,3,1,35,17,35,35,3977
90, M.LAGO       ,4,1,35,17,35,35,3977
90, M.LAGO       ,5,1,35,17,35,35,3977
152, TERMOCABO    ,1,1,13,72,35,53,5134
152, TERMOCABO    ,2,0,0,72,35,53,5134
152, TERMOCABO    ,3,1,13,72,35,53,5134
23, P.MEDICI B   ,3,0,0,428,120,50,1172
23, P.MEDICI B   ,4,0,0,428,120,50,1172
67, T.NORDESTE   ,2,1,54,40,108,43,5219
67, T.NORDESTE   ,1,1,53,40,108,43,5219
67, T.NORDESTE   ,3,1,54,40,108,43,5219
176, P.ITAQUI     ,1,1,360,169,80,80,5609
36, MARANHAO 4   ,1,1,169,428,80,80,5647
36, MARANHAO 4   ,2,1,169,428,80,80,5647
302, APAREC B1 5  ,2,0,0,428,80,80,8653
302, APAREC B1 5  ,1,0,0,428,80,80,8653
319, FLORES 2     ,1,1,20,428,80,80,8568
319, FLORES 2     ,2,1,20,428,80,80,8568
208, SANTANA      ,1,0,0,428,80,80,8235
208, SANTANA      ,2,0,0,428,80,80,8235
208, SANTANA      ,3,0,0,428,80,80,8235
208, SANTANA      ,4,0,0,428,80,80,8235
140, MAUA 3       ,1,0,0,96,100,80,8547
170, SUAPE 2      ,7,1,20,40,18,8,6021
