=================================================
Unit Commitmment do Programa Diario de Producao
=================================================
          Não Simuladas         
--------------------------------------------------
t,SIN,SE,S,NE,N
1,3663.0,2970.0,693.0,0.0,0.0,
2,3666.0,2978.0,688.0,0.0,0.0,
3,3665.0,2979.0,686.0,0.0,0.0,
4,3668.0,2983.0,685.0,0.0,0.0,
5,3673.0,2989.0,684.0,0.0,0.0,
6,3677.0,2993.0,684.0,0.0,0.0,
7,3686.0,2997.0,689.0,0.0,0.0,
8,3698.0,3002.0,696.0,0.0,0.0,
9,3712.0,3009.0,703.0,0.0,0.0,
10,3728.0,3020.0,708.0,0.0,0.0,
11,3739.0,3029.0,710.0,0.0,0.0,
12,3742.0,3031.0,711.0,0.0,0.0,
13,3738.0,3029.0,709.0,0.0,0.0,
14,3730.0,3024.0,706.0,0.0,0.0,
15,3729.0,3022.0,707.0,0.0,0.0,
16,3730.0,3022.0,708.0,0.0,0.0,
17,3720.0,3016.0,704.0,0.0,0.0,
18,3701.0,3006.0,695.0,0.0,0.0,
19,3690.0,3003.0,687.0,0.0,0.0,
20,3678.0,3001.0,677.0,0.0,0.0,
21,3668.0,2999.0,669.0,0.0,0.0,
22,3652.0,2991.0,661.0,0.0,0.0,
23,3638.0,2980.0,658.0,0.0,0.0,
24,3629.0,2968.0,661.0,0.0,0.0,
25,3610.0,2950.0,660.0,0.0,0.0,
26,3620.0,2958.0,662.0,0.0,0.0,
27,3597.0,2945.0,652.0,0.0,0.0,
28,3590.0,2947.0,643.0,0.0,0.0,
29,3582.0,2942.0,640.0,0.0,0.0,
30,3583.0,2942.0,641.0,0.0,0.0,
31,3589.0,2950.0,639.0,0.0,0.0,
32,3599.0,2962.0,637.0,0.0,0.0,
33,3599.0,2964.0,635.0,0.0,0.0,
34,3597.0,2963.0,634.0,0.0,0.0,
35,3608.0,2973.0,635.0,0.0,0.0,
36,3612.0,2975.0,637.0,0.0,0.0,
37,3614.0,2978.0,636.0,0.0,0.0,
38,3615.0,2983.0,632.0,0.0,0.0,
39,3615.0,2991.0,624.0,0.0,0.0,
40,3612.0,2998.0,614.0,0.0,0.0,
41,3610.0,3007.0,603.0,0.0,0.0,
42,3608.0,3012.0,596.0,0.0,0.0,
43,3605.0,3018.0,587.0,0.0,0.0,
44,3605.0,3026.0,579.0,0.0,0.0,
45,3604.0,3033.0,571.0,0.0,0.0,
46,3599.0,3036.0,563.0,0.0,0.0,
47,3588.0,3032.0,556.0,0.0,0.0,
48,3571.0,3021.0,550.0,0.0,0.0,
