&us,    nome      ,un, di, hi, m, df, hf, m, Gmin,     Gmax,       Custo     ,Custo UP,Custo DN
1, ANGRA 1      ,1,28,0,0, F ,   ,  ,520,640,31.17,3.12,2.08
13, ANGRA 2      ,1,28,0,0, F ,   ,  ,1080,1350,20.12,2.01,1.34
211, BAIXADA FL   ,1,28,0,0, F ,   ,  ,160,172,128.12,12.81,8.54
211, BAIXADA FL   ,2,28,0,0, F ,   ,  ,160,172,128.12,12.81,8.54
211, BAIXADA FL   ,3,28,0,0, F ,   ,  ,160,186,128.12,12.81,8.54
7, CARIOBA      ,1,28,0,0, F ,   ,  ,5,18,937,93.7,62.47
7, CARIOBA      ,2,28,0,0, F ,   ,  ,5,18,937,93.7,62.47
97, EROCHA_L1    ,1,28,0,0, F ,   ,  ,90,166,319.18,31.918,31.918
97, EROCHA_L1    ,2,28,0,0, F ,   ,  ,40,50,319.18,31.918,31.918
12, CUIABA CC    ,1,28,0,0, F ,   ,  ,100,167,511.77,51.18,34.12
12, CUIABA CC    ,2,28,0,0, F ,   ,  ,100,167,511.77,51.18,34.12
12, CUIABA CC    ,3,28,0,0, F ,   ,  ,100,194,511.77,51.18,34.12
153, DAIA         ,1,28,0,0, F ,   ,  ,4,26,883.84,88.38,58.92
153, DAIA         ,2,28,0,0, F ,   ,  ,3,18,883.84,88.38,58.92
153, DAIA         ,3,28,0,0, F ,   ,  ,3,18,883.84,88.38,58.92
65, ATLAN_CSA    ,2,28,0,0, F ,   ,  ,40,255,0,1000,1000
183, ATLANTICO    ,1,28,0,0, F ,   ,  ,90,235,179.56,17.96,11.97
183, ATLANTICO    ,3,28,0,0, F ,   ,  ,90,235,179.56,17.96,11.97
62, BLSOBR_L1    ,1,28,0,0, F ,   ,  ,35,47,353.24,35.32,35.32
62, BLSOBR_L1    ,2,28,0,0, F ,   ,  ,35,48,353.24,35.32,35.32
62, BLSOBR_L1    ,3,28,0,0, F ,   ,  ,35,49,353.24,35.32,35.32
62, BLSOBR_L1    ,4,28,0,0, F ,   ,  ,35,47,353.24,35.32,35.32
62, BLSOBR_L1    ,5,28,0,0, F ,   ,  ,35,48,353.24,35.32,35.32
62, BLSOBR_L1    ,6,28,0,0, F ,   ,  ,35,50,353.24,35.32,35.32
62, BLSOBR_L1    ,7,28,0,0, F ,   ,  ,35,49,353.24,35.32,35.32
62, BLSOBR_L1    ,8,28,0,0, F ,   ,  ,35,48,353.24,35.32,35.32
110, FGASPARIAN   ,1,28,0,0, F ,   ,  ,60,96,548.04,54.8,36.54
110, FGASPARIAN   ,2,28,0,0, F ,   ,  ,60,96,548.04,54.8,36.54
110, FGASPARIAN   ,3,28,0,0, F ,   ,  ,60,97,548.04,54.8,36.54
110, FGASPARIAN   ,4,28,0,0, F ,   ,  ,60,97,548.04,54.8,36.54
110, FGASPARIAN   ,5,28,0,0, F ,   ,  ,60,93,548.04,54.8,36.54
110, FGASPARIAN   ,6,28,0,0, F ,   ,  ,60,93,548.04,54.8,36.54
155, GOIANIA 2    ,1,28,0,0, F ,   ,  ,55,70,921.14,92.11,61.41
155, GOIANIA 2    ,2,28,0,0, F ,   ,  ,55,70,921.14,92.11,61.41
63, AUR.CHAVES   ,1,28,0,0, F ,   ,  ,90,151,346.37,34.64,23.09
63, AUR.CHAVES   ,2,28,0,0, F ,   ,  ,45,75,346.37,34.64,23.09
2, IGARAPE      ,1,28,0,0, F ,   ,  ,32,131,689.98,69,46
54, JUIZ DE FO   ,1,28,0,0, F ,   ,  ,35,44,283.74,28.37,18.92
54, JUIZ DE FO   ,2,28,0,0, F ,   ,  ,35,43,283.74,28.37,18.92
15, LUIZORMELO   ,1,28,0,0, F ,   ,  ,25,51,217.77,21.78,14.52
15, LUIZORMELO   ,2,28,0,0, F ,   ,  ,25,51,217.77,21.78,14.52
15, LUIZORMELO   ,3,28,0,0, F ,   ,  ,25,51,217.77,21.78,14.52
15, LUIZORMELO   ,4,28,0,0, F ,   ,  ,25,51,217.77,21.78,14.52
182, PALMEIR_GO   ,1,28,0,0, F ,   ,  ,50,88,662.7,66.27,44.18
182, PALMEIR_GO   ,2,28,0,0, F ,   ,  ,50,87,662.7,66.27,44.18
50, PIRAT.12 O   ,1,28,0,0, F ,   ,  ,80,100,470.34,47.03,31.36
50, PIRAT.12 O   ,2,28,0,0, F ,   ,  ,80,100,470.34,47.03,31.36
9, CAMPOS       ,1,28,0,0, F ,   ,  ,8,13,773.24,77.32,51.55
9, CAMPOS       ,2,28,0,0, F ,   ,  ,8,12,773.24,77.32,51.55
4, ST.CRUZ 34   ,3,28,0,0, F ,   ,  ,1,218,310.41,31.04,20.69
4, ST.CRUZ 34   ,4,28,0,0, F ,   ,  ,1,218,310.41,31.04,20.69
86, SANTA CRUZ   ,11,28,0,0, F ,   ,  ,100,175,144.77,14.48,9.65
86, SANTA CRUZ   ,21,28,0,0, F ,   ,  ,100,175,144.77,14.48,9.65
194, TNORTE 2     ,1,28,0,0, F ,   ,  ,60,74,910.86,91.09,60.72
194, TNORTE 2     ,2,28,0,0, F ,   ,  ,60,74,910.86,91.09,60.72
194, TNORTE 2     ,3,28,0,0, F ,   ,  ,60,74,910.86,91.09,60.72
194, TNORTE 2     ,4,28,0,0, F ,   ,  ,60,119,910.86,91.09,60.72
90, M.LAGO       ,1,28,0,0, F ,   ,  ,35,47,513.22,51.32,34.21
90, M.LAGO       ,2,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,3,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,4,28,0,0, F ,   ,  ,35,47,513.22,51.32,34.21
90, M.LAGO       ,5,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,6,28,0,0, F ,   ,  ,35,48,513.22,51.32,34.21
90, M.LAGO       ,7,28,0,0, F ,   ,  ,35,47,513.22,51.32,34.21
90, M.LAGO       ,8,28,0,0, F ,   ,  ,35,47,513.22,51.32,34.21
90, M.LAGO       ,9,28,0,0, F ,   ,  ,35,47,513.22,51.32,34.21
90, M.LAGO       ,10,28,0,0, F ,   ,  ,35,45,513.22,51.32,34.21
90, M.LAGO       ,11,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,12,28,0,0, F ,   ,  ,35,47,513.22,51.32,34.21
90, M.LAGO       ,13,28,0,0, F ,   ,  ,35,45,513.22,51.32,34.21
90, M.LAGO       ,14,28,0,0, F ,   ,  ,35,48,513.22,51.32,34.21
90, M.LAGO       ,15,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,16,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,17,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,18,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,19,28,0,0, F ,   ,  ,35,46,513.22,51.32,34.21
90, M.LAGO       ,20,28,0,0, F ,   ,  ,35,48,513.22,51.32,34.21
47, GLBRIZ_L1    ,1,28,0,0, F ,   ,  ,65,107,255.71,25.57,25.57
47, GLBRIZ_L1    ,2,28,0,0, F ,   ,  ,65,108,255.71,25.57,25.57
47, GLBRIZ_L1    ,3,28,0,0, F ,   ,  ,80,169,255.71,25.57,25.57
47, GLBRIZ_L1    ,4,28,0,0, F ,   ,  ,65,108,255.71,25.57,25.57
