     nome     ,  ug,st,GerInic,GerMin,GerMax,Barra,Regiao
1,1,0,0,0,67.998,848,S
2,1,0,0,0,67.998,902,S
3,1,0,0,0,67.998,1288,S
4,1,0,0,0,67.998,1310,S
5,1,0,0,0,67.998,1316,S
6,1,0,0,0,67.998,1317,S
7,1,0,0,0,67.998,1347,S
8,1,0,0,0,67.998,1369,S
9,1,0,0,0,67.998,1370,S
10,1,0,0,0,67.998,1371,S
11,1,0,0,0,67.998,2350,S
12,1,0,0,0,67.998,2352,S
13,2,0,0,0,9.268,2050,S
14,2,0,0,0,9.268,2702,S
15,2,0,0,0,9.268,2703,S
16,2,0,0,0,9.268,2705,S
17,2,0,0,0,9.268,2716,S
18,2,0,0,0,9.268,2717,S
19,2,0,0,0,9.268,2717,S
20,2,0,0,0,9.268,2722,S
21,2,0,0,0,9.268,2731,S
22,2,0,0,0,9.268,2733,S
23,2,0,0,0,9.268,2754,S
24,2,0,0,0,9.268,2754,S
25,2,0,0,0,9.268,2761,S
26,2,0,0,0,9.268,2765,S
27,2,0,0,0,9.268,2780,S
28,2,0,0,0,9.268,2780,S
29,2,0,0,0,9.268,2808,S
30,2,0,0,0,9.268,2818,S
31,2,0,0,0,9.268,2818,S
32,2,0,0,0,9.268,2824,S
33,2,0,0,0,9.268,2824,S
34,2,0,0,0,9.268,2824,S
35,2,0,0,0,9.268,2842,S
36,2,0,0,0,9.268,2842,S
37,2,0,0,0,9.268,2851,S
38,2,0,0,0,9.268,2854,S
39,2,0,0,0,9.268,2861,S
40,2,0,0,0,9.268,2861,S
41,2,0,0,0,9.268,2862,S
42,2,0,0,0,9.268,2862,S
43,2,0,0,0,9.268,2870,S
44,2,0,0,0,9.268,2870,S
45,2,0,0,0,9.268,2884,S
46,2,0,0,0,9.268,2885,S
47,2,0,0,0,9.268,2892,S
48,2,0,0,0,9.268,2892,S
49,2,0,0,0,9.268,9183,S
50,2,0,0,0,9.268,9222,S
51,2,0,0,0,9.268,9224,S
52,2,0,0,0,9.268,9312,S
53,2,0,0,0,9.268,9362,S
54,2,0,0,0,9.268,9688,S
55,2,0,0,0,9.268,9689,S
56,2,0,0,0,9.268,9689,S
57,2,0,0,0,9.268,9689,S
58,2,0,0,0,9.268,9719,S
59,2,0,0,0,9.268,9719,S
60,2,0,0,0,9.268,9732,S
61,3,0,0,0,36.232,9292,S
62,3,0,0,0,36.232,9310,S
63,3,0,0,0,36.232,9424,S
64,3,0,0,0,36.232,9733,S
65,3,0,0,0,36.232,9734,S
66,3,0,0,0,36.232,9872,S
67,3,0,0,0,36.232,9905,S
68,3,0,0,0,36.232,9998,S
69,4,0,0,0,38.08,9853,S
70,4,0,0,0,38.08,9867,S
71,4,0,0,0,38.08,9868,S
72,4,0,0,0,38.08,9871,S
73,4,0,0,0,38.08,9948,S
74,4,0,0,0,38.08,10124,S
75,5,0,0,0,90.3,9999,S
76,5,0,0,0,90.3,10017,S
77,6,0,0,0,84,9950,S
78,6,0,0,0,84,10011,S
79,7,0,0,0,75.6,10019,S
80,7,0,0,0,75.6,10120,S
81,8,0,0,0,130.2,9949,S
82,9,0,0,0,32.662,10018,S
83,9,0,0,0,32.662,10108,S
84,9,0,0,0,32.662,10152,S
85,10,0,0,0,89.6,10109,S
86,11,0,0,0,83.72,10121,S
87,12,0,0,0,44.38,10110,S
88,13,0,0,0,167.02,5075,NE
89,13,0,0,0,167.02,5079,NE
90,13,0,0,0,167.02,5124,NE
91,14,0,0,0,84.84,5294,NE
92,14,0,0,0,84.84,5374,NE
93,14,0,0,0,84.84,5439,NE
94,14,0,0,0,84.84,5459,NE
95,14,0,0,0,84.84,5472,NE
96,15,0,0,0,116.2,5600,NE
97,15,0,0,0,116.2,5612,NE
98,15,0,0,0,116.2,6043,NE
99,16,0,0,0,164.29,5622,NE
100,16,0,0,0,164.29,5672,NE
101,17,0,0,0,162.12,5978,NE
102,17,0,0,0,162.12,6014,NE
103,18,0,0,0,61.404,6016,NE
104,18,0,0,0,61.404,6016,NE
105,18,0,0,0,61.404,6016,NE
106,18,0,0,0,61.404,6016,NE
107,18,0,0,0,61.404,6016,NE
108,19,0,0,0,61.236,6030,NE
109,19,0,0,0,61.236,6031,NE
110,19,0,0,0,61.236,6036,NE
111,19,0,0,0,61.236,6037,NE
112,19,0,0,0,61.236,6038,NE
113,20,0,0,0,101.64,6051,NE
114,20,0,0,0,101.64,6051,NE
115,20,0,0,0,101.64,6051,NE
116,21,0,0,0,151.2,6057,NE
117,21,0,0,0,151.2,6065,NE
118,22,0,0,0,99.26,6066,NE
119,22,0,0,0,99.26,6105,NE
120,22,0,0,0,99.26,6135,NE
121,23,0,0,0,97.02,6108,NE
122,23,0,0,0,97.02,6127,NE
123,23,0,0,0,97.02,6127,NE
124,24,0,0,0,289.8,6129,NE
125,25,0,0,0,72.03,6136,NE
126,25,0,0,0,72.03,6138,NE
127,25,0,0,0,72.03,6144,NE
128,25,0,0,0,72.03,6266,NE
129,26,0,0,0,287.14,6164,NE
130,27,0,0,0,132.3,6145,NE
131,27,0,0,0,132.3,6150,NE
132,28,0,0,0,263.2,6165,NE
133,29,0,0,0,127.33,6166,NE
134,29,0,0,0,127.33,6167,NE
135,30,0,0,0,84.42,6195,NE
136,30,0,0,0,84.42,6209,NE
137,30,0,0,0,84.42,6215,NE
138,31,0,0,0,126,6214,NE
139,31,0,0,0,126,6229,NE
140,32,0,0,0,84,6242,NE
141,32,0,0,0,84,6292,NE
142,32,0,0,0,84,6309,NE
143,33,0,0,0,120.4,6310,NE
144,33,0,0,0,120.4,6363,NE
145,34,0,0,0,120.26,6647,NE
146,34,0,0,0,120.26,6654,NE
147,35,0,0,0,234.78,6629,NE
148,36,0,0,0,112,6693,NE
149,36,0,0,0,112,6709,NE
150,37,0,0,0,108.78,6370,NE
151,37,0,0,0,108.78,6379,NE
152,38,0,0,0,105,6648,NE
153,38,0,0,0,105,6653,NE
154,39,0,0,0,204.12,6382,NE
155,40,0,0,0,197.883,6672,NE
156,41,0,0,0,98.49,6673,NE
157,41,0,0,0,98.49,6781,NE
158,42,0,0,0,190.96,6630,NE
159,43,0,0,0,186.662,6636,NE
160,44,0,0,0,165.2,6638,NE
161,45,0,0,0,82.32,6386,NE
162,45,0,0,0,82.32,6634,NE
163,46,0,0,0,163.24,6642,NE
164,47,0,0,0,80.78,6768,NE
165,47,0,0,0,80.78,6775,NE
166,48,0,0,0,75.6,6777,NE
167,48,0,0,0,75.6,6793,NE
168,49,0,0,0,75.6,6637,NE
169,49,0,0,0,75.6,6782,NE
170,50,0,0,0,147.84,6675,NE
171,51,0,0,0,147,6708,NE
172,52,0,0,0,85.54,6708,NE
173,53,0,0,0,84,6776,NE
174,54,0,0,0,84,6776,NE
175,55,0,0,0,81.83,6776,NE
176,56,0,0,0,53.76,6776,NE
177,57,0,0,0,145.6,6674,NE
178,58,0,0,0,39.2,6674,NE
179,59,0,0,0,73.92,6678,NE
180,60,0,0,0,71.4,6678,NE
181,61,0,0,0,79.38,6387,NE
182,62,0,0,0,76.44,6387,NE
183,63,0,0,0,95.858,6387,NE
184,64,0,0,0,113.96,6387,NE
185,65,0,0,0,103.04,6387,NE
186,66,0,0,0,78.96,6227,NE
187,67,0,0,0,58.8,6227,NE
188,68,0,0,0,76.16,6244,NE
189,69,0,0,0,120.54,6244,NE
190,70,0,0,0,32.34,5134,NE
191,71,0,0,0,67.62,6114,NE
192,72,0,0,0,70.56,6114,NE
193,73,0,0,0,73.92,5653,NE
194,74,0,0,0,75.67,6714,NE
195,75,0,0,0,76.16,5653,NE
196,76,0,0,0,99.12,5213,NE
197,77,0,0,0,107.52,6160,NE
198,78,0,0,0,109.48,5133,NE
199,79,0,0,0,117.6,5133,NE
