&     ,Mon, Jus, t,p  hora, tp,TVIAG
TVIAG ,  2,   4, H,     12,  1,
TVIAG ,  4,   6, H,     23,  1,
TVIAG , 24,  31, H,      6,  1,
TVIAG , 27,  28, H,      1,  1,
TVIAG , 28,  31, H,      4,  1,
TVIAG , 25,  26, H,      6,  1,
TVIAG , 33,  44, H,     14,  1,
TVIAG ,156, 169, H,    360,  1,
TVIAG ,  9,  10, H,      5,  1,
TVIAG , 11,  12, H,      6,  1,
TVIAG ,134, 135, H,      2,  1,
TVIAG , 26,  27, H,      5,  1,
TVIAG , 10,  11, H,      2,  1,
TVIAG ,143, 144, H,      1,  1,
TVIAG ,162, 169, H,    360,  1,
TVIAG ,148, 154, H,    120,  1,
TVIAG ,193, 141, H,     36,  1,
TVIAG ,141, 143, H,     12,  1,
TVIAG , 14,  15, H,     12,  1,
TVIAG , 18,  44, H,      6,  1,
TVIAG , 37,  38, H,     12,  1,
TVIAG , 40,  42, H,      6,  1,
TVIAG , 42,  44, H,      7,  1,
TVIAG , 15,  16, H,      3,  1,
TVIAG , 16,  17, H,     69,  1,
TVIAG , 38,  39, H,      6,  1,
TVIAG , 39,  40, H,      6,  1,
TVIAG , 62,  63, H,      4,  1,
TVIAG , 63,  66, H,     48,  1,
TVIAG , 52,  61, H,      5,  1,
TVIAG , 51,  52, H,      1,  1,
TVIAG , 47,  48, H,      1,  1,
TVIAG , 49, 249, H,      2,  1,
TVIAG , 61,  62, H,      4,  1,
TVIAG , 50,  51, H,      2,  1,
TVIAG , 45,  46, H,     24,  1,
TVIAG , 44,  45, H,      3,  1,
TVIAG , 46,  66, H,     48,  1,
TVIAG ,120, 123, H,     72,  1,
TVIAG ,121, 122, H,      6,  1,
TVIAG ,  6,   7, H,      6,  1,
TVIAG ,  7,   8, H,      2,  1,
TVIAG ,  8,   9, H,      2,  1,
TVIAG , 12,  17, H,      6,  1,
TVIAG , 17,  18, H,      6,  1,
TVIAG , 31,  32, H,      4,  1,
TVIAG , 30,  31, H,      6,  1,
TVIAG ,251, 252, H,      3,  1,
TVIAG ,123, 125, H,     24,  1,
TVIAG ,129, 130, H,      8,  1,
TVIAG , 20,  21, H,      8,  1,
TVIAG ,257, 261, H,     40,  1,
TVIAG ,122, 123, H,     84,  1,
TVIAG ,124, 183, H,      1,  1,
TVIAG ,125, 129, H,      2,  1,
TVIAG ,180, 181, H,      2,  1,
TVIAG ,181, 129, H,      1,  1,
TVIAG ,182, 131, H,      1,  1,
TVIAG ,107,  37, H,     48,  1,
TVIAG , 32,  33, H,      8,  1,
TVIAG ,135, 141, H,     24,  1,
TVIAG ,139, 141, H,     48,  1,
TVIAG ,262, 241, H,     18,  1,
TVIAG , 89,  90, H,      1,  1,
TVIAG ,110, 111, H,      1,  1,
TVIAG ,111, 112, H,      1,  1,
TVIAG ,112, 113, H,      1,  1,
TVIAG ,113, 114, H,      1,  1,
TVIAG , 74,  76, H,      1,  1,
TVIAG , 76,  77, H,      1,  1,
TVIAG , 73,  77, H,      1,  1,
TVIAG , 71,  72, H,      2,  1,
TVIAG , 72,  73, H,      2,  1,
TVIAG , 57,  61, H,     22,  1,
TVIAG , 77,  78, H,      1,  1,
TVIAG , 78,  82, H,      1,  1,
TVIAG , 93,  94, H,      1,  1,
TVIAG , 91,  92, H,      1,  1,
TVIAG , 92, 103, H,      1,  1,
TVIAG ,252, 253, H,      3,  1,
TVIAG ,253, 257, H,      3,  1,
TVIAG ,267, 275, H,     61,  1,
TVIAG , 86,  91, H,      1,  1,
TVIAG , 90,  91, H,      1,  1,
TVIAG , 97,  98, H,      1,  1,
TVIAG , 98,  99, H,      1,  1,
TVIAG ,169, 172, H,     60,  1,
TVIAG ,172, 173, H,      3,  1,
TVIAG ,174, 178, H,      3,  1,
TVIAG ,175, 178, H,      3,  1,
TVIAG ,280, 284, H,      2,  1,
TVIAG ,204, 280, H,      2,  1,
TVIAG ,126, 127, H,      5,  1,
TVIAG ,261, 267, H,     68,  1,
TVIAG , 48,  49, H,      4,  1,
TVIAG ,249,  50, H,      2,  1,
TVIAG ,241,  44, H,      9,  1,
TVIAG ,304, 305, H,      1,  1,
TVIAG ,203,  30, H,     16,  1,
TVIAG , 29, 203, H,      1,  1,
TVIAG ,155, 156, H,      3,  1,
TVIAG ,311, 312, H,      8,  1,
TVIAG ,315,  44, H,     10,  1,
TVIAG , 21,  24, H,     11,  1,
TVIAG ,290,  44, H,     18,  1,
TVIAG ,101, 102, H,      1,  1,
TVIAG ,285, 287, H,     18,  1,
TVIAG ,192, 193, H,      4,  1,
