& ,  ind,      nome       ,ss   ,Vinic  ,Turbmin,DefTot,
UH,1,  CAMARGOS,10,57,11,9999,220
UH,2, ITUTINGA       2                                            ,10,93,5.7,9999,190
UH,4, FUNIL GRANDE   3                                            ,10,55,19.5,9999,585
UH,6, FURNAS         6                                            ,10,28,21.1,9999,1692
UH,7, M. DE MORAES   2                                            ,10,33,10.9,9999,672
UH,8, L.C.BARRETO    6                                            ,10,58,33.8,9999,2028
UH,9, JAGUARA        4                                            ,10,69,26.9,9999,1076
UH,10, IGARAPAVA      5                                            ,10,54,29.6,9999,1480
UH,11, V. GRANDE      4                                            ,10,77,39.6,9999,1584
UH,12, P.COLOMBIA     4                                            ,10,98,49.7,9999,1988
UH,14, CACONDE        1                                            ,10,38,4.8,9999,94
UH,15, E. CUNHA       4                                            ,10,85,3.7,9999,148
UH,16, A.S. OLIVEIR   2                                            ,10,85,8.9,9999,178
UH,17, MARIMBONDO     8                                            ,10,78,36.8,9999,2944
UH,18, A. VERMELHA    6                                            ,10,60,49.3,9999,2958
UH,20, BATALHA        2                                            ,10,71,7.7,9999,154
UH,21, SERRA FACAO    2                                            ,10,43,16.2,9999,324
UH,24, EMBORCAÇÃO     4                                            ,10,17,26.2,9999,1048
UH,25, NOVA PONTE     3                                            ,10,21,19.2,9999,576
UH,26, MIRANDA        3                                            ,10,79,22.5,9999,675
UH,27, CAPIM BRANCO1  3                                            ,10,35,16.5,9999,495
UH,28, CAPIM BRANCO2  3                                            ,10,67,17.9,9999,537
UH,31, ITUMBIARA      6                                            ,10,42,49,9999,2940
UH,32, C. DOURADA     2                                            ,10,81,6.5,9999,1004
UH,33, SAO SIMAO      6                                            ,10,86,44.5,9999,2670
UH,34, I.SOLTEIRA     4                                            ,10,70,48,9999,7894
UH,37, BARRA BONITA   4                                            ,10,83,18.9,9999,756
UH,38, A.S.LIMA (BA   2                                            ,10,51,25.7,9999,771
UH,39, IBITINGA       3                                            ,10,86,23.4,9999,702
UH,40, PROMISSAO      3                                            ,10,76,43.1,9999,1293
UH,42, NAVANHANDAVA   3                                            ,10,74,47.7,9999,1431
